num	Feature
247	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__uncultured; D_6__uncultured bacterium
248	H2-K1
249	Jak1
250	Pfdn5
251	Crip1
252	Zfand6
253	Eif5a
254	Sri
255	Cyfip2
256	Vps16
257	Ddx24
258	2900055J20Rik
259	Coa3
260	Prpf6
261	9430008C03Rik
262	Lysmd2
263	Kdm6a
264	Ifit2
265	Polg2
266	Ankrd29
267	Clec7a
268	Zfp282
269	Pla2g4a
270	Slc33a1
271	Igf2bp3
272	Tmem120b
273	Hist2h2bb
274	Rbm41
275	Adam11
276	Hist1h2bm
277	Gm15446
278	Ppm1e
279	I830077J02Rik
280	1700008O03Rik
281	Krtap16-1
282	Cyp1a1
283	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Parasutterella; D_6__Burkholderiales bacterium YL45
284	Eif4h
285	Kctd10
286	Prkca
287	Cpeb2
288	Dock5
289	Cog5
290	Il12a
291	Spata24
292	Fam151b
293	Plcd1
294	Sema6b
295	1110019D14Rik
296	Gm10845
297	Galnt16
298	Caskin1
299	Rplp1
300	Rps15
301	Fau
302	Rpl38
303	Myl6
304	Rpl19
305	Hnrnpa2b1
306	H2afy
307	Itm2b
308	Ets1
309	Igj
310	Uba1
311	Zfp36l1
312	Grcc10
313	Spib
314	Ccnl1
315	Eif3h
316	Ldha
317	Tmbim6
318	Snrnp70
319	Gpx4
320	Rasal3
321	Mapre1
322	Akap13
323	Itgb2
324	Esyt1
325	Cd4
326	P2ry10
327	Capzb
328	Fubp1
329	Pgls
330	Rsbn1
331	Uqcr10
332	Rltpr
333	Mrpl24
334	Cdk4
335	Il6ra
336	Arpp19
337	Tmem59
338	Eif4a3
339	Nucb1
340	Cc2d1b
341	Csde1
342	Sptbn1
343	Gtf3c2
344	Csnk1d
345	Syf2
346	Fnbp1
347	Clk4
348	Arf1
349	Sh3bp5
350	Nelfcd
351	2510002D24Rik
352	Paics
353	Ik
354	Pafah1b1
355	Fam108a
356	Rtn3
357	Npm3
358	Psmd11
359	Clk3
360	Mcm5
361	Lamtor4
362	Dock8
363	Sdpr
364	Riok1
365	Zmynd8
366	Mtch2
367	Cpne3
368	Npm3-ps1
369	Ppp4r2
370	Skil
371	S100a13
372	Tm9sf3
373	Capn2
374	Mon1a
375	Rbms1
376	Stard7
377	2410002F23Rik
378	Fam98c
379	Trabd
380	A930013F10Rik
381	Gclc
382	Tnfaip1
383	Timm13
384	BC005561
385	Rnu11
386	Rhoq
387	Rnmt
388	2010012O05Rik
389	Anxa11
390	Prkag2
391	Ndel1
392	Sacm1l
393	Tpcn1
394	Cdk5r1
395	Wdr74
396	Mavs
397	Emc3
398	Asb3
399	Ppp1r7
400	Gm8580
401	Cdca8
402	Tmem128
403	Rpusd4
404	Rab33b
405	4930526I15Rik
406	Rwdd1
407	Hps4
408	Apmap
409	Fgf1
410	Acap2
411	Nat6
412	Qrfp
413	Phldb1
414	Meox1
415	Beta-s
416	H2-Eb1
417	Alas2
418	Phf21a
419	Nup62
420	Sdhc
421	Emc4
422	Zfp442
423	Mss51
424	Snord49b
425	Cldn15
426	Dnaic1
427	Hgfac
428	Mir339
429	Ptk7
430	4930412O13Rik
431	Cpt1c
432	1110046J04Rik
433	Gm684
