item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
MLN_CD4_T_cells_CD44lo_CD62Lhi	0.9156	0.4856	0.9826	0.7588	0.5366	0.2548	0.5436	0.3852	0.248	0.2938	0.6296	0.9474	0.0584	0.936	0.0442	0.2626	0.391	0.245	0.2748	0.0034	0.1636	0.109	0.0074	0.0118	0.184	0.0322	0.0236	0.2146	0.6192	0.2194	0.4166	0.7418	0.5858	0.2882	0.4252	0.2674
MLN_CD4_T_cells_CD44hi_CD62Lhi	0.0822	0.2288	0.1044	0.2888	0.2116	0.8364	0.7588	0.1794	0.5746	0.9076	0.584	0.3606	0.1852	0.13	0.0654	0.8676	0.9592	0.8476	0.8824	0.159	0.0152	0.5262	0.0776	0.0614	0.013	0.297	0.0342	0.6178	0.5468	0.5516	0.9008	0.3534	0.3384	0.8308	0.865	0.8004
MLN_CD4_T_cells_CD44hi_CD62Llo	0.6188	0.7982	0.5876	0.427	0.9268	0.1238	0.347	0.6876	0.2484	0.1236	0.7248	0.7298	0.1854	0.5464	0.2408	0.1018	0.179	0.0954	0.1108	0.111	0.5256	0.1118	0.1784	0.205	0.5632	0.106	0.2624	0.2062	0.3474	0.2216	0.3432	0.4156	0.8194	0.1906	0.351	0.1846
MLN_CD4_T_cells_CD44lo_CD62Llo	0.7168	0.4038	0.7822	0.9002	0.4314	0.3502	0.65	0.3134	0.2812	0.3966	0.6084	0.799	0.059	0.8766	0.028	0.3654	0.4926	0.3476	0.381	0.0086	0.0814	0.1716	0.008	0.0092	0.0916	0.0528	0.0124	0.2588	0.7408	0.2502	0.4758	0.877	0.5092	0.3714	0.4774	0.3508
MLN_CD8_T_cells_CD44lo_CD62Lhi	0.6298	0.3752	0.7004	0.962	0.4018	0.3906	0.6962	0.2876	0.2916	0.441	0.6008	0.7472	0.0608	0.7978	0.0252	0.4074	0.5358	0.3904	0.4178	0.0128	0.0624	0.1996	0.0092	0.0094	0.0678	0.0656	0.0088	0.2826	0.7946	0.2704	0.4998	0.9368	0.486	0.4084	0.5038	0.385
MLN_CD8_T_cells_CD44hi_CD62Lhi	0.062	0.225	0.082	0.2424	0.2048	0.889	0.7014	0.1742	0.5992	0.962	0.5796	0.3432	0.2	0.1018	0.069	0.9232	0.8966	0.8956	0.9374	0.173	0.012	0.5574	0.0864	0.0662	0.0098	0.3216	0.0372	0.652	0.4914	0.5884	0.9392	0.3042	0.3308	0.8788	0.9028	0.8446
MLN_CD8_T_cells_CD44hi_CD62Llo	0.8704	0.6066	0.8238	0.6256	0.6906	0.1796	0.4562	0.492	0.2448	0.207	0.6734	0.9084	0.0932	0.768	0.1122	0.1748	0.2906	0.1626	0.1872	0.0326	0.306	0.1002	0.0556	0.0668	0.331	0.0572	0.1048	0.2062	0.4964	0.2154	0.376	0.6082	0.6838	0.2304	0.383	0.2202
MLN_CD8_T_cells_CD44lo_CD62Llo	0.4574	0.319	0.5202	0.8906	0.33	0.4686	0.7916	0.2444	0.3316	0.5202	0.5908	0.6308	0.071	0.6188	0.025	0.4922	0.6184	0.473	0.504	0.0246	0.0302	0.2598	0.0116	0.0104	0.0302	0.1038	0.0068	0.341	0.9122	0.3114	0.5652	0.9244	0.4346	0.4778	0.5604	0.457
MLN_Total_myeloid_CD11b_CD11c	0.6082	0.8538	0.5746	0.4206	0.9722	0.1998	0.361	0.7682	0.3078	0.1962	0.7642	0.7304	0.26	0.5304	0.3184	0.1894	0.2342	0.1842	0.1924	0.2156	0.6126	0.1974	0.2628	0.2896	0.649	0.1968	0.3418	0.2596	0.3622	0.2792	0.3728	0.4238	0.865	0.2482	0.3856	0.2424
MLN_CD4_T_cells_CD25+	0.0924	0.5498	0.086	0.0618	0.4376	0.2052	0.2164	0.5672	0.43	0.1744	0.9928	0.3696	0.6484	0.0728	0.8322	0.183	0.14	0.1894	0.1734	0.6306	0.532	0.3574	0.7496	0.7988	0.4788	0.5122	0.9118	0.3772	0.1254	0.4138	0.3588	0.0988	0.6812	0.2652	0.3912	0.2738
MLN_Total_immune_cells_CD45+	0.6466	0.815	0.6146	0.4504	0.9204	0.2252	0.388	0.7204	0.2964	0.228	0.7528	0.7564	0.2506	0.567	0.2964	0.2232	0.2634	0.2182	0.2252	0.2152	0.5574	0.21	0.2516	0.2706	0.5928	0.2048	0.3182	0.2742	0.3902	0.2766	0.3774	0.4608	0.8264	0.2654	0.3918	0.2616
MLN_Eosinphils	0.4576	0.9438	0.4412	0.3516	0.8202	0.3094	0.3842	0.9854	0.406	0.3026	0.8496	0.6264	0.4354	0.4102	0.5198	0.2938	0.3038	0.2932	0.2958	0.4168	0.9004	0.336	0.4682	0.4906	0.9418	0.3748	0.553	0.379	0.346	0.3914	0.4154	0.3698	0.9856	0.3406	0.4466	0.34
MLN_Neutrophils	0.0384	0.4322	0.0348	0.0232	0.3462	0.2338	0.2062	0.4294	0.4952	0.1942	0.9338	0.3096	0.761	0.0288	0.9864	0.21	0.1506	0.2216	0.2028	0.7496	0.342	0.4224	0.8806	0.9334	0.3004	0.6038	0.9252	0.4398	0.1044	0.4808	0.3708	0.0688	0.5664	0.29	0.4222	0.305
MLN_Ly6C_Monocyte	0.4062	0.4912	0.426	0.5436	0.4724	0.9998	0.7964	0.4558	0.8418	0.966	0.7666	0.5744	0.5826	0.4426	0.4616	0.9816	0.8898	0.996	0.9722	0.5866	0.3374	0.8304	0.5122	0.486	0.3276	0.6868	0.4342	0.8688	0.6804	0.8404	0.9842	0.5686	0.5612	0.9902	0.9952	0.9714
MLN_CD11c_MHCII	0.4164	0.9752	0.3894	0.2602	0.8386	0.1498	0.2896	0.9426	0.3072	0.1372	0.8176	0.5984	0.3298	0.3528	0.4292	0.1256	0.1526	0.1226	0.1294	0.2854	0.8216	0.1922	0.3706	0.4008	0.8674	0.2314	0.4738	0.256	0.2474	0.2738	0.3416	0.2902	0.9866	0.213	0.357	0.2116
MLN_CD103_CD11c_MHCII_DC	0.5238	0.977	0.5026	0.4042	0.8694	0.3204	0.4082	0.9602	0.4208	0.3178	0.8524	0.666	0.4472	0.4696	0.5258	0.3132	0.3262	0.3132	0.3152	0.4212	0.857	0.3478	0.478	0.504	0.8994	0.3816	0.5636	0.3818	0.3842	0.398	0.4482	0.4144	0.9944	0.3514	0.4708	0.3504
MLN_CD103neg_CD11c_MHCII_DC	0.439	0.999	0.41	0.276	0.862	0.1468	0.2936	0.9142	0.301	0.1374	0.8076	0.6096	0.313	0.3758	0.4118	0.1226	0.1536	0.119	0.1296	0.266	0.7846	0.1838	0.3506	0.378	0.8352	0.2176	0.4476	0.249	0.2588	0.2678	0.3398	0.3038	0.9708	0.2108	0.3556	0.2076
