condition	cor	iteration
IL_17_Bacillus.S.	0.768220506387709	1
IL_17_Bacteroides.V.	0.859642827956098	1
IL_17_Candida.A.	0.739960435547063	1
IL_17_CD3_CD28	0.869314317612489	1
IL_17_Clostridium.P.	0.711086536708358	1
IL_17_PBS	0.667024208484224	1
IL_17_Pseudomonas.A.	0.69667180499668	1
IL_17_Staph.A.	0.695885624952588	1
IL_17_Bacillus.S.	0.773603776303273	2
IL_17_Bacteroides.V.	0.75746625634033	2
IL_17_Candida.A.	0.80085811401842	2
IL_17_CD3_CD28	0.892810449779643	2
IL_17_Clostridium.P.	0.935206826402388	2
IL_17_PBS	0.543567195021102	2
IL_17_Pseudomonas.A.	0.624542239678173	2
IL_17_Staph.A.	0.758978568949767	2
IL_17_Bacillus.S.	0.458562083238361	3
IL_17_Bacteroides.V.	0.811485421230883	3
IL_17_Candida.A.	0.760097921932247	3
IL_17_CD3_CD28	0.500369745859916	3
IL_17_Clostridium.P.	0.274089768240126	3
IL_17_PBS	0.863878881742197	3
IL_17_Pseudomonas.A.	0.623038641039443	3
IL_17_Staph.A.	0.821220671493203	3
IL_17_Bacillus.S.	0.63931896025848	4
IL_17_Bacteroides.V.	0.74692664031905	4
IL_17_Candida.A.	0.812908883113377	4
IL_17_CD3_CD28	0.773037734958174	4
IL_17_Clostridium.P.	0.754288506044988	4
IL_17_PBS	0.0754417209600005	4
IL_17_Pseudomonas.A.	0.760082802085831	4
IL_17_Staph.A.	0.700825802444643	4
IL_17_Bacillus.S.	0.566936164187155	5
IL_17_Bacteroides.V.	0.763793322630271	5
IL_17_Candida.A.	0.817962031632102	5
IL_17_CD3_CD28	0.588192523032336	5
IL_17_Clostridium.P.	0.844963426010939	5
IL_17_PBS	-0.272142464880946	5
IL_17_Pseudomonas.A.	0.0521964390906719	5
IL_17_Staph.A.	0.357721726101854	5
IL_17_Bacillus.S.	0.738964760343112	6
IL_17_Bacteroides.V.	0.771660597577761	6
IL_17_Candida.A.	0.630050671409136	6
IL_17_CD3_CD28	0.666108472521179	6
IL_17_Clostridium.P.	0.354502135662156	6
IL_17_PBS	0.374193942941139	6
IL_17_Pseudomonas.A.	0.454343934010521	6
IL_17_Staph.A.	0.255262336875755	6
IL_17_Bacillus.S.	-0.0274601539376354	7
IL_17_Bacteroides.V.	0.490511600222822	7
IL_17_Candida.A.	0.758561863411896	7
IL_17_CD3_CD28	0.529142382486734	7
IL_17_Clostridium.P.	0.0496990922441692	7
IL_17_PBS	0.748435469729064	7
IL_17_Pseudomonas.A.	-0.169460915990154	7
IL_17_Staph.A.	0.743451967754785	7
IL_17_Bacillus.S.	0.541558879090815	8
IL_17_Bacteroides.V.	0.60057890696255	8
IL_17_Candida.A.	0.597564430270505	8
IL_17_CD3_CD28	0.868405031156773	8
IL_17_Clostridium.P.	0.264822680114609	8
IL_17_PBS	0.497171920116254	8
IL_17_Pseudomonas.A.	0.118998984543505	8
IL_17_Staph.A.	0.681755155897099	8
IL_17_Bacillus.S.	0.716375529609351	9
IL_17_Bacteroides.V.	0.627761448574713	9
IL_17_Candida.A.	0.719662372029724	9
IL_17_CD3_CD28	0.649629928068403	9
IL_17_Clostridium.P.	0.203070513048601	9
IL_17_PBS	0.328806393906782	9
IL_17_Pseudomonas.A.	0.767562517345149	9
IL_17_Staph.A.	0.629136814053517	9
IL_17_Bacillus.S.	0.218475064475425	10
IL_17_Bacteroides.V.	0.800549788455672	10
IL_17_Candida.A.	0.7908763893622	10
IL_17_CD3_CD28	0.357264102580251	10
IL_17_Clostridium.P.	0.846523274892509	10
IL_17_PBS	0.199058125887591	10
IL_17_Pseudomonas.A.	0.448574511341448	10
IL_17_Staph.A.	0.744575072574254	10
