MIP_3a	KC	TNF_a	MCP_1	IP_10	MIP_1a	MIP_1b	IL_1a	IL_6
5.00564162938912	7.19349437928511	0	4.82287887348168	7.79956127825489	4.27290598816293	4.79245862181925	4.77076890209462	0
6.02121190564208	7.62200142840468	0	3.78468834023437	3.76852895278076	0	5.12291596950404	3.69576783032957	0
7.05303163612779	6.56333398872851	4.06627528523945	5.20763090355951	6.55264103976221	4.71943724752894	5.19124586293743	7.02860534885432	4.17250418340875
6.75674201275226	9.01933059081505	0	5.81520667849814	7.00011965021292	2.9393211803789	4.15194643154613	5.48636286576682	7.18323179473652
5.30831082093101	6.68096582959778	0	2.33552052338451	5.0839708604323	0	4.56032870436015	5.72675697144245	0
4.83054869043946	7.20848724091824	0	1.97229327424346	4.90421160434964	0	1.00000000000004	2.24395079717832	0
6.47709801225844	7.83177586867695	7.19675240811995	6.07544772540004	7.44475659830096	1.39834791451558	1.00000000000004	5.20562790034254	0
7.84727669421903	6.85934680988701	0	5.0245993022134	6.78926196205583	0	5.33124568084641	5.49635501430665	5.09195068705968
6.3273483689883	7.28033347024389	2.48378047090675	5.26146826422536	7.10811478979949	2.28833311776722	4.68390777203342	4.9884008619696	0
7.33558544311866	7.08329317524923	3.4686615755431	5.53123901539798	8.23796983026546	1.02379829671598	4.36583719629961	2.97094366208402	0
6.7479955443716	8.13024656323006	0	3.24847333534847	6.59640424340912	3.54107397020057	5.28860306701731	5.2962701169921	0
6.79827597005692	6.97340068879695	0	3.43853605542734	5.27011230377035	1.98574913612021	6.42545516461311	6.5700058065999	0
5.96836921626721	7.26848334331037	8.83771002216987	7.16732481001855	6.2719757106455	4.01665109588657	4.78614369284188	7.08295934233065	0
8.1842301286969	7.03550700881678	1.51788390768603	4.19920642696578	6.02361376553212	3.80817336959906	5.26103742627657	5.84982130260586	0
7.40479426190251	7.31827118950451	0	3.77940094717385	5.39991616887951	3.88793563127052	4.20068872977588	2.34308768115245	0
6.98561481152761	9.17431777094908	0	6.50794957550732	5.64201066725599	0	4.24733189470544	5.30008513850192	8.26758076311378
7.86090967888641	7.68822086820392	3.64971441501881	5.68624908531973	6.84771677800776	1.76458589155309	2.09843204368826	2.45410388254805	5.18243523312696
8.46644239010018	12.0286114067533	5.11962041533773	7.12138989483975	7.84474870090201	4.33193806947008	5.2472991289428	2.55819905232549	7.41698434574248
7.72930445683011	8.51187549902945	0	3.05236119655886	6.60148473203001	0	4.16949473493435	3.39685312872887	0
9.00525091300635	6.89799997385988	3.4942807827834	5.49543711524057	8.22500966584351	3.25199392641084	4.74935909080774	2.06163954468561	0
5.98053238004414	9.06110307133188	1.93220402159885	4.27483125010299	6.92769563535549	3.78190858028187	2.80826980247065	1.00550925351343	0
8.08136713025078	8.15562998910431	5.15901287296308	6.16836590005255	8.43306051680367	5.32826956288599	5.22115821839943	6.19667748870648	6.61015407682972
7.44892292610413	10.1311887251432	4.98508938402972	7.45618796835622	7.19164435777745	4.63251709094598	4.77614776867427	4.00602408870212	7.45214834939519
7.12172555721366	8.82578236162266	3.81384231824433	5.73883192740216	6.95078462613862	4.36058757634913	5.13426295240422	5.22225057591726	5.40005795897363
6.19979803520338	5.43250639373829	1.82887958253985	3.36605156677233	4.98464276326771	2.39638071937538	4.12590101010011	4.9489063912602	0
7.92033301341419	10.5368881491125	5.48807381873051	8.35941653905887	7.632146056251	3.56731269665798	5.39682489396608	6.95063614479597	8.97870211401566
6.30187856964532	7.79832536304826	0	4.08606693224421	6.2780190090357	1.36831381280385	3.89508953089394	3.6270204894933	0
7.2513532254986	7.59616755897202	3.5802391166785	5.6057829775905	6.31683971971124	4.19419495092654	4.72287107320558	5.50902017881936	5.2444728571564
6.14613079611008	4.8202828421444	0	4.84645967816036	5.87360210437088	3.51439570198735	4.28638721066675	2.4893150816462	7.07925952095975
7.59445180001341	9.81784894887537	4.68021411666446	6.7248318126193	8.95297243338584	7.29806534257255	4.4386804740344	4.80685194684224	9.86108371703262
7.69574463608009	8.31410878878834	0	4.62197350849834	6.96325063452754	3.47811693569837	5.68077540387177	1.58572533021732	0
6.58893100876412	7.91743047544058	0	3.99679502552152	6.50781039420323	5.01293046125656	2.37188841731324	7.53584519483595	5.77839082000393
8.26621609771908	8.98474543604788	4.50509643358021	7.71776925926834	7.89562949570654	4.19419495092654	5.47465100408543	3.99202559349662	7.71726912127033
7.33558544311866	9.06559168422582	0	7.26647425318322	6.75231005546991	1.94132368278388	4.21291896937487	5.86414629586143	7.90971096996993
7.77195765144643	8.93986756679351	4.00763577230036	5.54028589023317	7.41180899883314	4.37598126778346	4.99970861208592	4.70482451167817	7.88835687126682
5.7630375969546	7.31112713642087	0	3.53322003386235	5.73941242228102	1.752190695319	4.46192807769709	4.47813792520271	0
7.57109565795783	7.48703803303979	5.13519275453206	4.55820559099822	7.33556029881879	4.04241802143401	5.11009774217163	5.09370013835151	0
8.58099666289675	9.27551981040014	5.6536252620165	5.43999485263395	7.79583817734297	4.5284622717644	5.1987984408578	1.49366671847358	4.84983058648338
6.67603552861302	9.031282105403	0	1.06293580168031	5.95714936935653	3.58456754667987	4.80320212978103	3.44386027936009	6.08067294628295
8.15717414848724	0	4.24910006812607	9.61912190260067	10.0562798345085	4.15025111358519	5.15662079920979	3.54883506491021	10.5707812758115
7.31648028311241	10.7903762959646	4.73184784621681	7.73623520104071	7.41022324987453	4.40878709726641	5.05660770790043	5.2540628587506	8.39316496852162
