Genes	module
Mcl1	9.1
Ms4a6b	9.1
Ndufa3	9.1
Nfkbia	9.1
Nfkbid	9.1
Pfn1	9.1
Ppp1r15a	9.1
Prkcb	9.1
Psmb8	9.1
Rn4.5s	9.1
Rpl38	9.1
Sec11c	9.1
Slc38a2	9.1
Srsf5	9.1
Tsc22d3	9.1
Tubb5	9.1
Ubc	9.1
Xist	9.1
Zfp36	9.1
Acin1	10.2
Aldoa	10.2
Als2cl	10.2
Ankrd17	10.2
Arf6	10.2
Arid1a	10.2
Arpc4	10.2
Arpc5	10.2
Atp1b3	10.2
Baz1a	10.2
Baz2a	10.2
Chd3	10.2
Chd7	10.2
Ctbp1	10.2
Cuta	10.2
Dek	10.2
Dync1h1	10.2
Ewsr1	10.2
Fam65b	10.2
Fkbp8	10.2
Fyb	10.2
Galnt6	10.2
Ggnbp2	10.2
Grk6	10.2
H2-DMb1	10.2
Hip1r	10.2
Hnrnpa0	10.2
Hsp90aa1	10.2
Hsp90b1	10.2
Il16	10.2
Ip6k1	10.2
Itga4	10.2
Lgals1	10.2
Maf1	10.2
Naa15	10.2
Ndufb10	10.2
Npm1	10.2
Nucks1	10.2
Oaz1	10.2
Ogdh	10.2
Phb2	10.2
Pisd-ps1	10.2
Pold4	10.2
Ppp1r12a	10.2
Psmb6	10.2
Pum2	10.2
Ran	10.2
Rbm25	10.2
Rcc2	10.2
Rdx	10.2
Rock1	10.2
Rpl5	10.2
Sf3b1	10.2
Sfpq	10.2
Tigd2	10.2
Ubn2	10.2
Xpo6	10.2
Ythdc1	10.2
Malat1	10.3
Cd53	11.2
Fau	11.2
Hnrnpa2b1	11.2
Lck	11.2
Myl6	11.2
Ptprc	11.2
Ptprcap	11.2
Rpl41	11.2
Rps15	11.2
Sepw1	11.2
Serinc3	11.2
Shisa5	11.2
Ano6	12.2
Ergic3	12.2
Icosl	12.2
Pip5k1c	12.2
Plekha2	12.2
Slc44a2	12.2
Tbc1d17	12.2
Arhgap30	13.2
Arid4a	13.2
Baz2b	13.2
Chd1	13.2
Fcer1g	13.2
Gmfb	13.2
Myg1	13.2
Pdlim2	13.2
Prkcsh	13.2
Rangap1	13.2
Smarcc2	13.2
Stx5a	13.2
Surf1	13.2
Tap2	13.2
Tpd52	13.2
Tug1	13.2
1200011I18Rik	14.1
1700094D03Rik	14.1
2310009A05Rik	14.1
