Genes	module
Serpinf1	33
Slk	33
Sypl	33
Tcea1	33
Tcn2	33
Tlr1	33
Trim25	33
2610034B18Rik	34
A730020E08Rik	34
AU022252	34
Aif1l	34
Akip1	34
Apbb1	34
Cd44	34
Dclk2	34
Gpm6a	34
Gstm7	34
Igfbp5	34
Il9r	34
Ltb4r1	34
Melk	34
Phlda3	34
Plp1	34
Prob1	34
Qsox2	34
Serac1	34
Serpina10	34
Sspn	34
Uap1l1	34
Vav3	34
Vwa1	34
Zbtb12	34
Zscan12	34
Arpc2	35
Calm1	35
Capg	35
Ccr6	35
Cotl1	35
Cybb	35
D17Wsu92e	35
Eif3g	35
Hcls1	35
Hist1h2ao	35
Klf13	35
Laptm5	35
Lmo4	35
Mzb1	35
Prkacb	35
Ptpn1	35
Rpl18a	35
Rraga	35
Spen	35
Taok2	35
Tecpr1	35
Thy1	35
Tnrc6c	35
Tpm3	35
Was	35
Wipf2	35
Acap1	36
Actg1	36
Actr3	36
Arl6ip5	36
BC056474	36
Cd97	36
Cfl1	36
Cnn2	36
Dhx32	36
Dpcd	36
Eef1a1	36
Mir703	36
Nrm	36
Pabpc1	36
Polr2b	36
Rad21	36
Rap1b	36
Rbbp7	36
Rpl15	36
Rpl29	36
Rplp0	36
Rps2	36
Rps4x	36
Setx	36
Slc25a5	36
Zap70	36
1110032A03Rik	37
2310008H09Rik	37
Abhd2	37
Akt1	37
Ap5s1	37
Cep135	37
Ces2d-ps	37
Comtd1	37
Crip3	37
Cxxc1	37
Fam213a	37
Hap1	37
Klhdc5	37
Kremen1	37
Osbpl9	37
Plekhg3	37
Pusl1	37
Qser1	37
Rad1	37
Sec24b	37
Slc39a13	37
Syde1	37
Tpra1	37
Tspyl3	37
Wdr20a	37
Btf3	38
Cenpa	38
Eef1b2	38
Gm11517	38
Gm6402	38
Gnb2l1	38
Mycbp2	38
Nme2	38
Ppia	38
Rpl12	38
Rpl18	38
Rpl23a	38
Rps17	38
Rps19-ps3	38
Rps23	38
Rps3	38
Rps3a1	38
Rps6	38
Serf2	38
Spcs1	38
Srrt	38
Uba52	38
Acp5	39
Atp5j2	39
Atp5k	39
Blnk	39
Cbfb	39
Cfh	39
Cox6c	39
Crtc3	39
Dctn1	39
Dph3	39
Hspb1	39
Igfbp6	39
Irf8	39
Ndufa2	39
Ptrf	39
Rapgef6	39
S100a6	39
S1pr4	39
Scamp3	39
Smg1	39
Uqcrq	39
1110059E24Rik	40
Adcy7	40
BC018507	40
Brwd1	40
Cd38	40
Chpf2	40
Dok3	40
Enthd2	40
Evl	40
H2-Ob	40
Ikbkb	40
Lztr1	40
Mast4	40
Rab21	40
Rbm43	40
Rnf114	40
Samd9l	40
Skiv2l	40
Zfp182	40
Agpat2	41
Ascc1	41
Cd300lg	41
Csf1	41
Dtx4	41
Gigyf1	41
Gm4285	41
Gpm6b	41
Hddc3	41
Hmgcs2	41
Mfap5	41
Plekhf1	41
Ptgfrn	41
Rbms3	41
Runx1t1	41
8-Sep	41
Zfhx2	41
Bod1l	42
Cct6a	42
Cdk19	42
Fam168a	42
Gabarapl1	42
Gpr182	42
Mid1	42
Nceh1	42
Rfc1	42
Rnpepl1	42
Rp9	42
Sema5a	42
Snord55	42
Tcf25	42
1100001G20Rik	43
Camp	43
Elane	43
Engase	43
Il1b	43
Lcn2	43
Ltf	43
Mmp8	43
Ngp	43
Prtn3	43
Retnlg	43
S100a8	43
S100a9	43
0610009O20Rik	1.1.1.1.1.1.1.1
1600002K03Rik	1.1.1.1.1.1.1.1
1810026J23Rik	1.1.1.1.1.1.1.1
2410127L17Rik	1.1.1.1.1.1.1.1
9130401M01Rik	1.1.1.1.1.1.1.1
9430016H08Rik	1.1.1.1.1.1.1.1
A230046K03Rik	1.1.1.1.1.1.1.1
Aasdh	1.1.1.1.1.1.1.1
Abcb9	1.1.1.1.1.1.1.1
Abcc1	1.1.1.1.1.1.1.1
Ap3m2	1.1.1.1.1.1.1.1
Ap3s2	1.1.1.1.1.1.1.1
Apopt1	1.1.1.1.1.1.1.1
Atp7a	1.1.1.1.1.1.1.1
Atr	1.1.1.1.1.1.1.1
Atxn7l1	1.1.1.1.1.1.1.1
B4galt3	1.1.1.1.1.1.1.1
BC065397	1.1.1.1.1.1.1.1
Bckdhb	1.1.1.1.1.1.1.1
Bcl2l13	1.1.1.1.1.1.1.1
Bcl9	1.1.1.1.1.1.1.1
Ccdc101	1.1.1.1.1.1.1.1
Ccna2	1.1.1.1.1.1.1.1
Ccnt2	1.1.1.1.1.1.1.1
Chrac1	1.1.1.1.1.1.1.1
Chst12	1.1.1.1.1.1.1.1
Clcc1	1.1.1.1.1.1.1.1
Cln6	1.1.1.1.1.1.1.1
Cmc1	1.1.1.1.1.1.1.1
Cog2	1.1.1.1.1.1.1.1
Coq2	1.1.1.1.1.1.1.1
Ctns	1.1.1.1.1.1.1.1
D17Wsu104e	1.1.1.1.1.1.1.1
Dcaf5	1.1.1.1.1.1.1.1
Deaf1	1.1.1.1.1.1.1.1
Dok1	1.1.1.1.1.1.1.1
Dopey1	1.1.1.1.1.1.1.1
Dtymk	1.1.1.1.1.1.1.1
Eral1	1.1.1.1.1.1.1.1
Erf	1.1.1.1.1.1.1.1
Ero1l	1.1.1.1.1.1.1.1
F2r	1.1.1.1.1.1.1.1
F8a	1.1.1.1.1.1.1.1
Fam136a	1.1.1.1.1.1.1.1
Fance	1.1.1.1.1.1.1.1
Fbrsl1	1.1.1.1.1.1.1.1
Fgf13	1.1.1.1.1.1.1.1
Frs2	1.1.1.1.1.1.1.1
Gm14446	1.1.1.1.1.1.1.1
Gm19705	1.1.1.1.1.1.1.1
Gm4944	1.1.1.1.1.1.1.1
Grpel2	1.1.1.1.1.1.1.1
Gtf2a1	1.1.1.1.1.1.1.1
Gypc	1.1.1.1.1.1.1.1
Habp4	1.1.1.1.1.1.1.1
Ifi205	1.1.1.1.1.1.1.1
Itch	1.1.1.1.1.1.1.1
Kat6b	1.1.1.1.1.1.1.1
Kbtbd2	1.1.1.1.1.1.1.1
Klf16	1.1.1.1.1.1.1.1
Klhl18	1.1.1.1.1.1.1.1
Klhl21	1.1.1.1.1.1.1.1
L3mbtl2	1.1.1.1.1.1.1.1
Lats2	1.1.1.1.1.1.1.1
Litaf	1.1.1.1.1.1.1.1
Lrig2	1.1.1.1.1.1.1.1
Lsm10	1.1.1.1.1.1.1.1
Lsm12	1.1.1.1.1.1.1.1
Lysmd1	1.1.1.1.1.1.1.1
Mapk7	1.1.1.1.1.1.1.1
Mef2d	1.1.1.1.1.1.1.1
Mesdc1	1.1.1.1.1.1.1.1
Mfsd10	1.1.1.1.1.1.1.1
Mpg	1.1.1.1.1.1.1.1
Mrrf	1.1.1.1.1.1.1.1
Mthfd1	1.1.1.1.1.1.1.1
Myef2	1.1.1.1.1.1.1.1
Narfl	1.1.1.1.1.1.1.1
Nfs1	1.1.1.1.1.1.1.1
Nfu1	1.1.1.1.1.1.1.1
Ngrn	1.1.1.1.1.1.1.1
Nipsnap3b	1.1.1.1.1.1.1.1
Nod1	1.1.1.1.1.1.1.1
Nol10	1.1.1.1.1.1.1.1
Nsun5	1.1.1.1.1.1.1.1
Nup205	1.1.1.1.1.1.1.1
Nxt1	1.1.1.1.1.1.1.1
Otud5	1.1.1.1.1.1.1.1
P4ha1	1.1.1.1.1.1.1.1
Papd4	1.1.1.1.1.1.1.1
Patz1	1.1.1.1.1.1.1.1
Pfkfb2	1.1.1.1.1.1.1.1
Pnpla6	1.1.1.1.1.1.1.1
Pofut1	1.1.1.1.1.1.1.1
Polr1a	1.1.1.1.1.1.1.1
Ppic	1.1.1.1.1.1.1.1
Pqlc1	1.1.1.1.1.1.1.1
Prim1	1.1.1.1.1.1.1.1
Prkab1	1.1.1.1.1.1.1.1
Prkrir	1.1.1.1.1.1.1.1
Pspc1	1.1.1.1.1.1.1.1
Ptrh2	1.1.1.1.1.1.1.1
Qtrt1	1.1.1.1.1.1.1.1
Rab40c	1.1.1.1.1.1.1.1
Rab5b	1.1.1.1.1.1.1.1
Rad52	1.1.1.1.1.1.1.1
Rb1	1.1.1.1.1.1.1.1
Rbm12b2	1.1.1.1.1.1.1.1
Rnf168	1.1.1.1.1.1.1.1
Rnf19a	1.1.1.1.1.1.1.1
Rnf5	1.1.1.1.1.1.1.1
Rrp8	1.1.1.1.1.1.1.1
Rwdd4a	1.1.1.1.1.1.1.1
Saal1	1.1.1.1.1.1.1.1
Sc5d	1.1.1.1.1.1.1.1
Shc1	1.1.1.1.1.1.1.1
Sik3	1.1.1.1.1.1.1.1
Slc30a5	1.1.1.1.1.1.1.1
Smad5	1.1.1.1.1.1.1.1
Smcr8	1.1.1.1.1.1.1.1
Smyd5	1.1.1.1.1.1.1.1
Snap29	1.1.1.1.1.1.1.1
St8sia6	1.1.1.1.1.1.1.1
Stx2	1.1.1.1.1.1.1.1
Stxbp5	1.1.1.1.1.1.1.1
Syne1	1.1.1.1.1.1.1.1
Taf6	1.1.1.1.1.1.1.1
Tex10	1.1.1.1.1.1.1.1
Tmed8	1.1.1.1.1.1.1.1
Tmem194b	1.1.1.1.1.1.1.1
Tmem223	1.1.1.1.1.1.1.1
Tnrc18	1.1.1.1.1.1.1.1
Tomm5	1.1.1.1.1.1.1.1
Trnau1ap	1.1.1.1.1.1.1.1
Trub2	1.1.1.1.1.1.1.1
Tsr2	1.1.1.1.1.1.1.1
Ubac1	1.1.1.1.1.1.1.1
Ube2c	1.1.1.1.1.1.1.1
Ube2o	1.1.1.1.1.1.1.1
Uchl3	1.1.1.1.1.1.1.1
Ulk1	1.1.1.1.1.1.1.1
Usp26	1.1.1.1.1.1.1.1
Wdr44	1.1.1.1.1.1.1.1
Whrn	1.1.1.1.1.1.1.1
Wrn	1.1.1.1.1.1.1.1
Xrcc1	1.1.1.1.1.1.1.1
Yars2	1.1.1.1.1.1.1.1
Zbtb22	1.1.1.1.1.1.1.1
Zfp1	1.1.1.1.1.1.1.1
Zfp236	1.1.1.1.1.1.1.1
Zfp326	1.1.1.1.1.1.1.1
Zfp410	1.1.1.1.1.1.1.1
Zfp414	1.1.1.1.1.1.1.1
Zfp946	1.1.1.1.1.1.1.1
Zhx2	1.1.1.1.1.1.1.1
0610011F06Rik	1.1.1.1.1.1.1.2
Adi1	1.1.1.1.1.1.1.2
Adk	1.1.1.1.1.1.1.2
Agps	1.1.1.1.1.1.1.2
Aldh18a1	1.1.1.1.1.1.1.2
Arhgap31	1.1.1.1.1.1.1.2
Avpi1	1.1.1.1.1.1.1.2
Ccdc86	1.1.1.1.1.1.1.2
Commd9	1.1.1.1.1.1.1.2
Ercc4	1.1.1.1.1.1.1.2
Fxn	1.1.1.1.1.1.1.2
Gatad1	1.1.1.1.1.1.1.2
Gm6377	1.1.1.1.1.1.1.2
Hagh	1.1.1.1.1.1.1.2
Hist1h4d	1.1.1.1.1.1.1.2
Med27	1.1.1.1.1.1.1.2
Mkl2	1.1.1.1.1.1.1.2
Mnda	1.1.1.1.1.1.1.2
Mtf1	1.1.1.1.1.1.1.2
Myadm	1.1.1.1.1.1.1.2
Phactr4	1.1.1.1.1.1.1.2
Ptov1	1.1.1.1.1.1.1.2
Rbm45	1.1.1.1.1.1.1.2
Selrc1	1.1.1.1.1.1.1.2
Sike1	1.1.1.1.1.1.1.2
Wdr13	1.1.1.1.1.1.1.2
Zfp62	1.1.1.1.1.1.1.2
Zfp874b	1.1.1.1.1.1.1.2
Zfp944	1.1.1.1.1.1.1.2
1600012H06Rik	1.1.1.1.1.1.2.1
Alas1	1.1.1.1.1.1.2.1
Arpp21	1.1.1.1.1.1.2.1
Dclre1c	1.1.1.1.1.1.2.1
Dirc2	1.1.1.1.1.1.2.1
Endod1	1.1.1.1.1.1.2.1
Ercc8	1.1.1.1.1.1.2.1
Fam110a	1.1.1.1.1.1.2.1
Fdft1	1.1.1.1.1.1.2.1
Gmpr2	1.1.1.1.1.1.2.1
Hccs	1.1.1.1.1.1.2.1
Hdac6	1.1.1.1.1.1.2.1
Hscb	1.1.1.1.1.1.2.1
Ndfip2	1.1.1.1.1.1.2.1
Plekha5	1.1.1.1.1.1.2.1
Psph	1.1.1.1.1.1.2.1
Rrnad1	1.1.1.1.1.1.2.1
Slc35b2	1.1.1.1.1.1.2.1
Slc35d2	1.1.1.1.1.1.2.1
Spc24	1.1.1.1.1.1.2.1
Txlng	1.1.1.1.1.1.2.1
Vipr1	1.1.1.1.1.1.2.1
Wipi2	1.1.1.1.1.1.2.1
2900056M20Rik	1.1.1.1.1.1.2.2
4933411K20Rik	1.1.1.1.1.1.2.2
Abcb7	1.1.1.1.1.1.2.2
Asun	1.1.1.1.1.1.2.2
Ccnb2	1.1.1.1.1.1.2.2
Cdk7	1.1.1.1.1.1.2.2
Cks1b	1.1.1.1.1.1.2.2
Exosc2	1.1.1.1.1.1.2.2
Fbxo18	1.1.1.1.1.1.2.2
Fndc3a	1.1.1.1.1.1.2.2
Ginm1	1.1.1.1.1.1.2.2
Gnaq	1.1.1.1.1.1.2.2
Hdac3	1.1.1.1.1.1.2.2
Kbtbd3	1.1.1.1.1.1.2.2
Kdm3a	1.1.1.1.1.1.2.2
Llgl1	1.1.1.1.1.1.2.2
Mib2	1.1.1.1.1.1.2.2
Mlycd	1.1.1.1.1.1.2.2
Ndufaf2	1.1.1.1.1.1.2.2
Ngly1	1.1.1.1.1.1.2.2
Npc1	1.1.1.1.1.1.2.2
Oard1	1.1.1.1.1.1.2.2
Osbpl2	1.1.1.1.1.1.2.2
Prim2	1.1.1.1.1.1.2.2
Prkx	1.1.1.1.1.1.2.2
Rcn2	1.1.1.1.1.1.2.2
Spopl	1.1.1.1.1.1.2.2
Ticam1	1.1.1.1.1.1.2.2
Tnfrsf1a	1.1.1.1.1.1.2.2
Trim21	1.1.1.1.1.1.2.2
Ttc38	1.1.1.1.1.1.2.2
Uba6	1.1.1.1.1.1.2.2
Ufl1	1.1.1.1.1.1.2.2
Vrk2	1.1.1.1.1.1.2.2
Zfp800	1.1.1.1.1.1.2.2
Zfyve19	1.1.1.1.1.1.2.2
A530054K11Rik	1.1.1.1.1.1.2.3
Alg2	1.1.1.1.1.1.2.3
Alg3	1.1.1.1.1.1.2.3
Bloc1s6	1.1.1.1.1.1.2.3
Calcrl	1.1.1.1.1.1.2.3
Ccdc69	1.1.1.1.1.1.2.3
Dcaf4	1.1.1.1.1.1.2.3
Dhcr7	1.1.1.1.1.1.2.3
Dhx33	1.1.1.1.1.1.2.3
Eea1	1.1.1.1.1.1.2.3
Fbxo5	1.1.1.1.1.1.2.3
Gmnn	1.1.1.1.1.1.2.3
Mapkap1	1.1.1.1.1.1.2.3
Mplkip	1.1.1.1.1.1.2.3
Osbpl11	1.1.1.1.1.1.2.3
Pdcd1lg2	1.1.1.1.1.1.2.3
Plekhn1	1.1.1.1.1.1.2.3
Rpp30	1.1.1.1.1.1.2.3
Scimp	1.1.1.1.1.1.2.3
Slc25a53	1.1.1.1.1.1.2.3
Stat5a	1.1.1.1.1.1.2.3
Tdp1	1.1.1.1.1.1.2.3
Tex9	1.1.1.1.1.1.2.3
Wls	1.1.1.1.1.1.2.3
Bid	1.1.1.1.1.1.2.4
Ephb6	1.1.1.1.1.1.2.4
Papss1	1.1.1.1.1.1.2.4
Phf11a	1.1.1.1.1.1.2.4
Cd226	1.1.1.1.1.1.2.5
Dbf4	1.1.1.1.1.1.2.5
Ddx11	1.1.1.1.1.1.2.5
Fam76a	1.1.1.1.1.1.2.5
Mir684-2	1.1.1.1.1.1.2.5
Nufip1	1.1.1.1.1.1.2.5
Polr3h	1.1.1.1.1.1.2.5
Rbm12b1	1.1.1.1.1.1.2.5
Rpap2	1.1.1.1.1.1.2.5
Rtel1	1.1.1.1.1.1.2.5
Scai	1.1.1.1.1.1.2.5
Slc15a2	1.1.1.1.1.1.2.5
Sos2	1.1.1.1.1.1.2.5
Tnfrsf9	1.1.1.1.1.1.2.5
Wdr61	1.1.1.1.1.1.2.5
Wdr91	1.1.1.1.1.1.2.5
Zfp143	1.1.1.1.1.1.2.5
1110038B12Rik	1.1.1.1.1.2.1.1
6330416G13Rik	1.1.1.1.1.2.1.1
Abhd12	1.1.1.1.1.2.1.1
Adck3	1.1.1.1.1.2.1.1
Dgcr14	1.1.1.1.1.2.1.1
Dgcr8	1.1.1.1.1.2.1.1
Drosha	1.1.1.1.1.2.1.1
Eya3	1.1.1.1.1.2.1.1
Irf2bpl	1.1.1.1.1.2.1.1
Kdm2b	1.1.1.1.1.2.1.1
Manea	1.1.1.1.1.2.1.1
Map3k5	1.1.1.1.1.2.1.1
Mrpl49	1.1.1.1.1.2.1.1
Notch2	1.1.1.1.1.2.1.1
Phf11c	1.1.1.1.1.2.1.1
Pigk	1.1.1.1.1.2.1.1
Pik3c2b	1.1.1.1.1.2.1.1
Plekhm2	1.1.1.1.1.2.1.1
Rc3h1	1.1.1.1.1.2.1.1
Reps1	1.1.1.1.1.2.1.1
Rfx5	1.1.1.1.1.2.1.1
Rictor	1.1.1.1.1.2.1.1
Ripk3	1.1.1.1.1.2.1.1
Rmnd5a	1.1.1.1.1.2.1.1
Snapc4	1.1.1.1.1.2.1.1
Trappc9	1.1.1.1.1.2.1.1
Zcchc8	1.1.1.1.1.2.1.1
1110058L19Rik	1.1.1.1.1.2.1.2
1810030O07Rik	1.1.1.1.1.2.1.2
2610001J05Rik	1.1.1.1.1.2.1.2
5730508B09Rik	1.1.1.1.1.2.1.2
AI597468	1.1.1.1.1.2.1.2
Adck5	1.1.1.1.1.2.1.2
Alkbh6	1.1.1.1.1.2.1.2
Arcn1	1.1.1.1.1.2.1.2
Arl8a	1.1.1.1.1.2.1.2
Atp5f1	1.1.1.1.1.2.1.2
Bcl10	1.1.1.1.1.2.1.2
Bmi1	1.1.1.1.1.2.1.2
Cdc23	1.1.1.1.1.2.1.2
Cnot7	1.1.1.1.1.2.1.2
Cops3	1.1.1.1.1.2.1.2
Cpm	1.1.1.1.1.2.1.2
Crbn	1.1.1.1.1.2.1.2
Creb3	1.1.1.1.1.2.1.2
Cstf3	1.1.1.1.1.2.1.2
Dctpp1	1.1.1.1.1.2.1.2
Dusp12	1.1.1.1.1.2.1.2
Epc2	1.1.1.1.1.2.1.2
Exd2	1.1.1.1.1.2.1.2
Faim	1.1.1.1.1.2.1.2
Fam98a	1.1.1.1.1.2.1.2
Fbxo28	1.1.1.1.1.2.1.2
Gnl3	1.1.1.1.1.2.1.2
Hps4	1.1.1.1.1.2.1.2
Igsf8	1.1.1.1.1.2.1.2
Iscu	1.1.1.1.1.2.1.2
Iws1	1.1.1.1.1.2.1.2
Kin	1.1.1.1.1.2.1.2
Klhl9	1.1.1.1.1.2.1.2
Lmf2	1.1.1.1.1.2.1.2
Lrrk2	1.1.1.1.1.2.1.2
Med16	1.1.1.1.1.2.1.2
Med24	1.1.1.1.1.2.1.2
Micall1	1.1.1.1.1.2.1.2
Mier2	1.1.1.1.1.2.1.2
Mina	1.1.1.1.1.2.1.2
Mkks	1.1.1.1.1.2.1.2
Mtpap	1.1.1.1.1.2.1.2
Mtrr	1.1.1.1.1.2.1.2
Nabp1	1.1.1.1.1.2.1.2
Nfrkb	1.1.1.1.1.2.1.2
Osbpl7	1.1.1.1.1.2.1.2
Paip2b	1.1.1.1.1.2.1.2
Pgam5	1.1.1.1.1.2.1.2
Pja2	1.1.1.1.1.2.1.2
Pkig	1.1.1.1.1.2.1.2
Pnkd	1.1.1.1.1.2.1.2
Pofut2	1.1.1.1.1.2.1.2
Ppa2	1.1.1.1.1.2.1.2
Rapgef4	1.1.1.1.1.2.1.2
Rcbtb2	1.1.1.1.1.2.1.2
Renbp	1.1.1.1.1.2.1.2
Rnf111	1.1.1.1.1.2.1.2
Rrp15	1.1.1.1.1.2.1.2
Scfd1	1.1.1.1.1.2.1.2
Sephs1	1.1.1.1.1.2.1.2
Sh3gl1	1.1.1.1.1.2.1.2
Snf8	1.1.1.1.1.2.1.2
Snx20	1.1.1.1.1.2.1.2
Snx4	1.1.1.1.1.2.1.2
Spast	1.1.1.1.1.2.1.2
Stx8	1.1.1.1.1.2.1.2
Taf9	1.1.1.1.1.2.1.2
Tango2	1.1.1.1.1.2.1.2
Themis	1.1.1.1.1.2.1.2
Topors	1.1.1.1.1.2.1.2
Tradd	1.1.1.1.1.2.1.2
Traf3ip2	1.1.1.1.1.2.1.2
Txndc16	1.1.1.1.1.2.1.2
Uck2	1.1.1.1.1.2.1.2
Unc119	1.1.1.1.1.2.1.2
Xpot	1.1.1.1.1.2.1.2
Zfp281	1.1.1.1.1.2.1.2
Zfp445	1.1.1.1.1.2.1.2
Zmym3	1.1.1.1.1.2.1.2
A230050P20Rik	1.1.1.1.1.2.1.3
Abl1	1.1.1.1.1.2.1.3
Aspscr1	1.1.1.1.1.2.1.3
Btbd2	1.1.1.1.1.2.1.3
Ccdc174	1.1.1.1.1.2.1.3
Clpb	1.1.1.1.1.2.1.3
Fam173b	1.1.1.1.1.2.1.3
Gtf2e2	1.1.1.1.1.2.1.3
Kif2a	1.1.1.1.1.2.1.3
Mrps5	1.1.1.1.1.2.1.3
Pank3	1.1.1.1.1.2.1.3
Psmg2	1.1.1.1.1.2.1.3
Relb	1.1.1.1.1.2.1.3
2-Sep	1.1.1.1.1.2.1.3
Trmt6	1.1.1.1.1.2.1.3
Yars	1.1.1.1.1.2.1.3
Zfp110	1.1.1.1.1.2.1.3
Zfp956	1.1.1.1.1.2.1.3
2210016F16Rik	1.1.1.1.1.2.2
2310011J03Rik	1.1.1.1.1.2.2
Arhgap26	1.1.1.1.1.2.2
Bckdk	1.1.1.1.1.2.2
Caml	1.1.1.1.1.2.2
Ccdc59	1.1.1.1.1.2.2
Ccs	1.1.1.1.1.2.2
Cramp1l	1.1.1.1.1.2.2
Ctso	1.1.1.1.1.2.2
Dedd	1.1.1.1.1.2.2
Dlg1	1.1.1.1.1.2.2
Dmap1	1.1.1.1.1.2.2
Dpy19l1	1.1.1.1.1.2.2
Epm2aip1	1.1.1.1.1.2.2
Erap1	1.1.1.1.1.2.2
Esco1	1.1.1.1.1.2.2
Etfa	1.1.1.1.1.2.2
Gramd4	1.1.1.1.1.2.2
Ift80	1.1.1.1.1.2.2
Larp4	1.1.1.1.1.2.2
Lsm14b	1.1.1.1.1.2.2
Mad2l2	1.1.1.1.1.2.2
Map7d1	1.1.1.1.1.2.2
Med21	1.1.1.1.1.2.2
Naa38	1.1.1.1.1.2.2
Napg	1.1.1.1.1.2.2
Nle1	1.1.1.1.1.2.2
Nup93	1.1.1.1.1.2.2
Pdf	1.1.1.1.1.2.2
Pprc1	1.1.1.1.1.2.2
Prex1	1.1.1.1.1.2.2
Psmd10	1.1.1.1.1.2.2
Ranbp1	1.1.1.1.1.2.2
Rcl1	1.1.1.1.1.2.2
Recql	1.1.1.1.1.2.2
Rgs3	1.1.1.1.1.2.2
Rnf8	1.1.1.1.1.2.2
Rnpep	1.1.1.1.1.2.2
Rpf1	1.1.1.1.1.2.2
Scd2	1.1.1.1.1.2.2
Setd7	1.1.1.1.1.2.2
Slc29a3	1.1.1.1.1.2.2
Srprb	1.1.1.1.1.2.2
Suz12	1.1.1.1.1.2.2
Thyn1	1.1.1.1.1.2.2
Trappc10	1.1.1.1.1.2.2
Trappc6a	1.1.1.1.1.2.2
Trim30d	1.1.1.1.1.2.2
Trmt1l	1.1.1.1.1.2.2
Tstd2	1.1.1.1.1.2.2
Ube2e3	1.1.1.1.1.2.2
Ube2z	1.1.1.1.1.2.2
Usp8	1.1.1.1.1.2.2
Vps13a	1.1.1.1.1.2.2
Akap2	1.1.1.1.1.3
App	1.1.1.1.1.3
Arhgef12	1.1.1.1.1.3
Arnt	1.1.1.1.1.3
Atad2	1.1.1.1.1.3
Atf5	1.1.1.1.1.3
Bbx	1.1.1.1.1.3
Cd9	1.1.1.1.1.3
Cldn25	1.1.1.1.1.3
Cnot3	1.1.1.1.1.3
Csf1r	1.1.1.1.1.3
Cxx1b	1.1.1.1.1.3
Dcaf6	1.1.1.1.1.3
Dnlz	1.1.1.1.1.3
Gaa	1.1.1.1.1.3
Golga4	1.1.1.1.1.3
Hyi	1.1.1.1.1.3
Laptm4b	1.1.1.1.1.3
Lin37	1.1.1.1.1.3
Mdfic	1.1.1.1.1.3
Med19	1.1.1.1.1.3
Mtmr2	1.1.1.1.1.3
Mus81	1.1.1.1.1.3
Ndrg1	1.1.1.1.1.3
Nedd4	1.1.1.1.1.3
Nenf	1.1.1.1.1.3
Nr1h3	1.1.1.1.1.3
Nudt19	1.1.1.1.1.3
Nxn	1.1.1.1.1.3
Ppif	1.1.1.1.1.3
Ppp1r2	1.1.1.1.1.3
Rad51d	1.1.1.1.1.3
Rhoc	1.1.1.1.1.3
Rrm2	1.1.1.1.1.3
Serping1	1.1.1.1.1.3
Setd5	1.1.1.1.1.3
Slamf7	1.1.1.1.1.3
Slc25a1	1.1.1.1.1.3
Spty2d1	1.1.1.1.1.3
Stx12	1.1.1.1.1.3
Tgfbi	1.1.1.1.1.3
Timp3	1.1.1.1.1.3
Trf	1.1.1.1.1.3
Trp53inp2	1.1.1.1.1.3
Ttpal	1.1.1.1.1.3
Wasf2	1.1.1.1.1.3
Zfp444	1.1.1.1.1.3
Zmynd15	1.1.1.1.1.3
1810018F18Rik	1.1.1.1.2.1.1.1
1810032O08Rik	1.1.1.1.2.1.1.1
4931406C07Rik	1.1.1.1.2.1.1.1
5330417C22Rik	1.1.1.1.2.1.1.1
Adipoq	1.1.1.1.2.1.1.1
Afap1l1	1.1.1.1.2.1.1.1
Aldh6a1	1.1.1.1.2.1.1.1
Ang	1.1.1.1.2.1.1.1
Apold1	1.1.1.1.2.1.1.1
Aqp12	1.1.1.1.2.1.1.1
Arhgap23	1.1.1.1.2.1.1.1
Arhgap29	1.1.1.1.2.1.1.1
Arhgdig	1.1.1.1.2.1.1.1
Arl6	1.1.1.1.2.1.1.1
Atp6v0a2	1.1.1.1.2.1.1.1
C4a	1.1.1.1.2.1.1.1
C4b	1.1.1.1.2.1.1.1
Ccbp2	1.1.1.1.2.1.1.1
Ccrl2	1.1.1.1.2.1.1.1
Cdc42ep2	1.1.1.1.2.1.1.1
Cdh5	1.1.1.1.2.1.1.1
Chad	1.1.1.1.2.1.1.1
Cidec	1.1.1.1.2.1.1.1
Clca1	1.1.1.1.2.1.1.1
Clip3	1.1.1.1.2.1.1.1
Coch	1.1.1.1.2.1.1.1
Col15a1	1.1.1.1.2.1.1.1
Cox6b2	1.1.1.1.2.1.1.1
Cyp2e1	1.1.1.1.2.1.1.1
Cyp39a1	1.1.1.1.2.1.1.1
Cyr61	1.1.1.1.2.1.1.1
Dsc2	1.1.1.1.2.1.1.1
Dsg2	1.1.1.1.2.1.1.1
Emp1	1.1.1.1.2.1.1.1
Etv1	1.1.1.1.2.1.1.1
F11r	1.1.1.1.2.1.1.1
Fam174b	1.1.1.1.2.1.1.1
Fkbp11	1.1.1.1.2.1.1.1
Fndc3b	1.1.1.1.2.1.1.1
Gad2	1.1.1.1.2.1.1.1
Gale	1.1.1.1.2.1.1.1
Gamt	1.1.1.1.2.1.1.1
Gas6	1.1.1.1.2.1.1.1
Gatad2b	1.1.1.1.2.1.1.1
Gatm	1.1.1.1.2.1.1.1
Gcat	1.1.1.1.2.1.1.1
Ggcx	1.1.1.1.2.1.1.1
Gm1943	1.1.1.1.2.1.1.1
Gnmt	1.1.1.1.2.1.1.1
Gpt2	1.1.1.1.2.1.1.1
Gtpbp8	1.1.1.1.2.1.1.1
Hpgd	1.1.1.1.2.1.1.1
Htra3	1.1.1.1.2.1.1.1
Igf2	1.1.1.1.2.1.1.1
Ikbip	1.1.1.1.2.1.1.1
Ipp	1.1.1.1.2.1.1.1
