baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene
2.01737392199902	1.13018989501528	0.266665940495487	4.23822364759179	2.25295280788055e-05	0.000229017794204259	0610007N19Rik
8.89970403270097	0.197701147435153	0.117593784238853	1.68122106720868	0.0927199829229596	0.21004102819391	0610007P14Rik
0.605436308011183	-0.442492552617391	0.422071796923045	-1.04838218483968	0.294462558169663	0.472243933036207	0610009B22Rik
16.9115357177682	0.158805689694433	0.0891259776360922	1.78181147524516	0.0747799803177308	0.179702482262689	0610009D07Rik
0.95642903736467	0.0681890686035995	0.3032782453377	0.22483996017476	0.822103778137505	0.899736811134046	0610009L18Rik
5.34582353090466	-0.136909573844891	0.137283435446062	-0.997276717326046	0.318630211743937	0.499425759517662	0610009O20Rik
0.4229199705447	-0.289988940687004	0.431443972701415	-0.672135802179102	0.501497245968574	0.668064717759773	0610010B08Rik
0.78936789119203	-0.00156464631564811	0.357572983091644	-0.00437573975002217	0.996508675952824	0.997999405228712	0610010F05Rik
16.8479672267369	-0.207902621064859	0.0811115201499976	-2.56317007350361	0.010372122688116	0.039945757945491	0610010K14Rik
4.95937729645175	-0.0204824404026678	0.138993036082636	-0.147363069258306	0.88284545369742	0.936275684204187	0610011F06Rik
17.1735639488473	0.0975024996454695	0.0763440100138076	1.27714668941067	0.201550463946868	0.365203921378651	0610012G03Rik
10.5333922050912	-0.238059350978397	0.102590726556645	-2.3204763136847	0.0203151248100017	0.0670552307026188	0610030E20Rik
12.5871955438769	-0.418910821727302	0.0866906502309642	-4.83224915964092	1.3499915111059e-06	1.92534503607723e-05	0610031J06Rik
7.46080378032068	0.437311118298509	0.137951073361306	3.17004505759193	0.00152415300953137	0.00851147468178433	0610037L13Rik
0.307269779069702	0.0786377568649863	0.462787747298439	0.169921864448747	0.865071585826918	NA	0610039K10Rik
0.41988509995827	0.441276930781408	0.474485237674744	0.930011928176994	0.352364908578808	0.535201524694436	0610040B10Rik
1.42224465259092	0.99146849386065	0.476402896332879	2.08115547049041	0.0374196779085936	0.106441728137392	1100001G20Rik
1.46994876843375	-0.0260374609983406	0.269294111070022	-0.0966878217086978	0.922974311383552	0.960435403973684	1110001A16Rik
7.13643076994349	0.129425871069533	0.112926836626965	1.14610375120194	0.251752225663219	0.42428432996788	1110001J03Rik
1.08296111414756	-0.252631864468291	0.258502395876729	-0.977290224376733	0.328425491318175	0.510769406489771	1110002L01Rik
3.82734612641528	-0.399847958336755	0.161037290915564	-2.48295258858027	0.0130298428583014	0.0478363359904286	1110004E09Rik
8.03291917683007	0.0536237243130659	0.117514422678914	0.456316110743128	0.648162680390111	0.782927134952224	1110004F10Rik
0.380117190977546	0.210245872604962	0.473547273586404	0.443980747714304	0.657056503188762	NA	1110006O24Rik
4.77343319874466	-0.291886273451959	0.144748173633971	-2.01651092462182	0.0437465770206034	0.120202750620832	1110007C09Rik
18.9633712756897	-0.383250486270098	0.0857107558201391	-4.47143981642555	7.7694725788527e-06	9.00451806720189e-05	1110008F13Rik
0.54037029235883	-0.447428896107653	0.378572165143119	-1.18188535054737	0.237251195458236	0.407782127662534	1110008J03Rik
1.47039717624014	-0.316986802439834	0.253900955677024	-1.24846636198982	0.211860319615556	0.377632309717251	1110008L16Rik
16.3832625181402	0.286047675106978	0.0907492666713656	3.15206596812353	0.0016211964233817	0.00896977953063059	1110008P14Rik
2.08894731291423	-0.119596964140078	0.203684720944396	-0.587167086394895	0.55709149514462	0.71447580642787	1110012L19Rik
4.17417197802951	-0.561772806251354	0.1611864724268	-3.48523544062591	0.000491704187742984	0.00327065187650666	1110018G07Rik
0.261721933550567	0.146850849475638	0.539381758757375	0.27225772301598	0.78542386088513	NA	1110019D14Rik
0.315482286934232	-0.663213052344748	0.470551498812461	-1.40943776402479	0.158705764076609	NA	1110020A21Rik
0.127750692431954	0.168540922184678	0.965640470073239	0.174537964602804	0.861442697191939	NA	1110028F11Rik
1.3569896491499	0.293125424185674	0.281840624987631	1.04003964722452	0.298321481178711	0.476051146564064	1110032A03Rik
0.81318075136908	-0.146695282744837	0.317807957157113	-0.46158467540294	0.644379186214869	0.780487930151632	1110032F04Rik
4.27533645011172	0.182145363782432	0.142688294870767	1.27652631876638	0.2017695292868	0.365427661160156	1110034G24Rik
0.0476147212218846	-0.359106228355402	1.55860197516958	-0.230402780232798	0.817778800953218	NA	1110035M17Rik
6.47965379511268	-0.731943575044425	0.12880861026546	-5.68241186311979	1.3280835950415e-08	3.04123126663327e-07	1110037F02Rik
7.2325966623573	0.304391097570912	0.135694489114254	2.24320898776234	0.0248833409951987	0.078404569176732	1110038B12Rik
10.8535280179516	-0.0308468177272742	0.092365152678716	-0.333965969120109	0.738405238467949	0.845081281646729	1110038F14Rik
0.0588881815880066	0.0056726933607318	1.6923505906327	0.00335196110789963	0.997325526991834	NA	1110046J04Rik
1.09750660729285	-0.260961598829327	0.308166879705151	-0.846819097104175	0.397095962059044	0.576962740226475	1110051M20Rik
2.73755697393529	0.0296684930395477	0.211529495406587	0.140257002847386	0.888456935198929	0.939645793095346	1110054M08Rik
6.90017170108671	-0.348114492228833	0.119249528420777	-2.91921064040183	0.00350919014321944	0.0166965271822661	1110057K04Rik
6.63070752400756	0.15941090040017	0.130005089701055	1.22618968816324	0.220127300875205	0.387402061709644	1110058L19Rik
12.7447202971435	-0.400848550699173	0.099409153215337	-4.03231028264437	5.52311980578351e-05	0.000502869012076977	1110059E24Rik
2.88556887461622	-0.0742343865616612	0.197535748049491	-0.375802290444475	0.707063884889447	0.82534298194121	1110059G10Rik
