mouse_id	IL.1a_Bacillus S.	IL.1a_Bacteroides V.	IL.1a_Candida A.	IL.1a_CD3/CD28	IL.1a_Clostridium P.	IL.1a_PBS	IL.1a_Pseudomonas A.	IL.1a_Staph A.	IL.5_Bacillus S.	IL.5_Bacteroides V.	IL.5_Candida A.	IL.5_CD3/CD28	IL.5_Clostridium P.	IL.5_PBS	IL.5_Pseudomonas A.	IL.5_Staph A.	IFN.y_Bacillus S.	IFN.y_Bacteroides V.	IFN.y_Candida A.	IFN.y_CD3/CD28	IFN.y_Clostridium P.	IFN.y_PBS	IFN.y_Pseudomonas A.	IFN.y_Staph A.	TNF.a_Bacillus S.	TNF.a_Bacteroides V.	TNF.a_Candida A.	TNF.a_CD3/CD28	TNF.a_Clostridium P.	TNF.a_PBS	TNF.a_Pseudomonas A.	TNF.a_Staph A.	KC_CXCL1_Bacillus S.	KC_CXCL1_Bacteroides V.	KC_CXCL1_Candida A.	KC_CXCL1_CD3/CD28	KC_CXCL1_Clostridium P.	KC_CXCL1_PBS	KC_CXCL1_Pseudomonas A.	KC_CXCL1_Staph A.	MCP.1_CCL2_Bacillus S.	MCP.1_CCL2_Bacteroides V.	MCP.1_CCL2_Candida A.	MCP.1_CCL2_CD3/CD28	MCP.1_CCL2_Clostridium P.	MCP.1_CCL2_PBS	MCP.1_CCL2_Pseudomonas A.	MCP.1_CCL2_Staph A.	IL.1b_Bacillus S.	IL.1b_Bacteroides V.	IL.1b_Candida A.	IL.1b_CD3/CD28	IL.1b_Clostridium P.	IL.1b_PBS	IL.1b_Pseudomonas A.	IL.1b_Staph A.	IL.10_Bacillus S.	IL.10_Bacteroides V.	IL.10_Candida A.	IL.10_CD3/CD28	IL.10_Clostridium P.	IL.10_PBS	IL.10_Pseudomonas A.	IL.10_Staph A.	MIP.1a_CCL3_Bacillus S.	MIP.1a_CCL3_Bacteroides V.	MIP.1a_CCL3_Candida A.	MIP.1a_CCL3_CD3/CD28	MIP.1a_CCL3_Clostridium P.	MIP.1a_CCL3_PBS	MIP.1a_CCL3_Pseudomonas A.	MIP.1a_CCL3_Staph A.	MIP.1b_CCL4_Bacillus S.	MIP.1b_CCL4_Bacteroides V.	MIP.1b_CCL4_Candida A.	MIP.1b_CCL4_CD3/CD28	MIP.1b_CCL4_Clostridium P.	MIP.1b_CCL4_PBS	MIP.1b_CCL4_Pseudomonas A.	MIP.1b_CCL4_Staph A.	IL.17_Bacillus S.	IL.17_Bacteroides V.	IL.17_Candida A.	IL.17_CD3/CD28	IL.17_Clostridium P.	IL.17_PBS	IL.17_Pseudomonas A.	IL.17_Staph A.	IL.6_Bacillus S.	IL.6_Bacteroides V.	IL.6_Candida A.	IL.6_CD3/CD28	IL.6_Clostridium P.	IL.6_PBS	IL.6_Pseudomonas A.	IL.6_Staph A.	IL.13_Bacillus S.	IL.13_Bacteroides V.	IL.13_Candida A.	IL.13_CD3/CD28	IL.13_Clostridium P.	IL.13_PBS	IL.13_Pseudomonas A.	IL.13_Staph A.
505150	4.75	5.6	7.36	0	4.9	0	0	0	12.97	20.14	28.11	165.88	19.22	0	7.68	12.66	107.06	36.29	38.58	1520	40.06	3.78	237.23	87.81	12.98	20.75	9.76	63.98	16.71	0	15.44	29	62.42	83.21	60.99	40.26	62.03	3.16	46.5	59.38	26.16	25.07	27.18	26.23	22.44	0	14.61	24.63	20.04	27.39	35.44	18	21.46	2.75	8.92	20.47	22.16	193	199.52	119.78	80.93	27.16	55.15	57.35	65.88	123.04	39.25	174.98	51.85	12.68	151.24	122.24	20.28	65.1	90.74	176.44	43.72	30.84	65.34	75.92	25.37	26.01	32.35	117.1	13.44	0	5.7	10.78	52.72	319.94	26.35	84.11	21.16	0	169.95	39.64	11.42	11.22	17.28	13.32	9.93	0	6.01	4.43
505349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.06	20.52	0	1.65	6.96	0	45.9	0	37.28	0	0	0	0	0	0	0	6.18	0	0	0	0	0	0	0	2.83	15.43	0	0	0	0	57.47	0	0	0	0	0	0	0	0	0
505350	0	0	0	0	0	0	0	0	0	0	0	45.58	0	0	0	0	8.28	88.39	0	7609	0	0	3.99	6.96	5.13	15.07	0	214.04	39.72	0	7.1	48.62	241	353.84	0	3.89	283.01	3.3	331.65	346.4	0	0	0	0	0	0	0	3.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.35	209.93	7.71	505.16	139.73	8.97	131.78	244.4	0	15.41	32.64	450.63	0	0	0	42.65	0	0	0	108.17	0	0	0	0	6.81	186.49	0	64.86	0	0	29.73	0	0	0	0	0	0	0	0	0
505452	2.56	3.52	3.9	1.21	4.45	1.2	3.17	3.01	9.28	9.41	7.75	48.14	6.59	2.48	6	5.05	21.07	140	5.98	1959	0	0	1368	4.68	14.93	26.87	4.11	73.01	20.95	1.99	33.76	28.18	51.41	66.92	18.5	5.97	30.57	6.93	64.19	38.2	6.38	3.05	0	0	8.92	0	0	0	0	0	0	0	34.08	0	0	0	65.47	95.25	47.01	70.12	96.8	55.22	63.39	0	184.41	253.24	19.98	374.84	68.86	6.43	347.43	201.4	47.22	48.13	0	113.87	0	0	53.24	43.93	7.32	8.7	4.19	163.17	17.2	0	2.1	0	0	0	0	0	0	0	0	0	6.61	10.47	7.21	7.13	5.9	7.85	7.13	5.98
505459	17.19	13.29	15.3	6.71	13.59	4.7	9.26	5.28	36.9	55.66	40.86	47.46	36.93	22.12	23.47	21.46	94.13	137.43	80.21	6674	77.05	33.04	710.67	246.84	20.36	65.64	23.9	153.18	43.71	10.15	36.73	79.01	320.76	602.55	100.82	80.34	313.23	59.32	550.53	838.62	32.98	41.96	35.74	25.87	40.98	21.62	29.53	34.19	46.06	39.59	50.51	25.82	41.62	30.72	26.02	27.35	251.23	279.87	350.03	190.58	183.54	123	172.45	124.23	136.33	336.95	68.88	395.83	149.43	42.88	272.85	301.46	133.7	0	115.89	270.1	125.73	68.96	133.92	135.35	50.98	0	48.93	199.5	45.88	17.27	22.16	37.19	102.06	325.36	54.46	95.75	65.12	23.62	147.52	47.82	25.07	0	23.89	16.08	19.17	6.75	12.27	13.69
505551	0	0	0	0	0	0	15.05	0	0	6.52	14.36	51.05	1.42	0	17.23	0	7.3	14.85	20.51	1166	7.54	0	13.74	0	9.27	8.87	0	66.66	10.56	0	18.55	7.93	38.58	40.55	26.28	2.91	25.08	0	35	23.08	17.66	21.44	21.34	0	16.79	0	16.63	15.91	15.43	11.49	15.61	6.1	14.65	0	11.27	12.76	60.61	94.11	106.9	55.24	48.7	0	0	0	68.78	126.4	22.87	225.87	33.78	14.47	117.72	57.47	26.15	28.78	41.43	168.38	23.19	0	63.49	35.57	2.88	1.3	8.18	117.75	15.2	0	15.42	3.19	28.14	172.94	5.35	85.34	11.98	0	118.09	8.22	1.28	4.36	1.8	0	0	0	6.05	0
505556	0	0	0	0	0	0	0	0	0	0	0	14.81	0	0	0	0	0	48.66	0	5778	0	0	913.62	52.79	5.2	25.87	0	205.85	25.79	0	16.39	72.13	62.81	231.11	0	0	34.67	0	207.91	45.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.04	39.11	3.06	745.28	47.69	1.97	142.31	124.24	0	0	0	416.25	0	0	0	5.53	0	0	0	80.14	0	0	0	0	8.07	421.87	0	57.27	0	0	80.29	0	0	0	0	0	0	0	0	0
505748	9.29	12.4	24.13	0	8.83	0	5.18	2.86	32.28	43.06	57.01	75.45	26	13.63	18.98	16.95	60.13	61.26	154.42	2932	41.05	21.99	155.46	51.52	15.21	26.27	32.4	110.04	28.88	4.9	20.72	34.81	76.91	129.35	126.09	29.57	84.82	25.02	55.13	58.01	33.77	37.49	52.59	11.79	31.25	19.87	21.49	15.73	39.9	43.27	75.13	20.9	34.73	19.63	22.79	24.68	142.52	322.73	507.58	112.05	167.59	86.94	154.17	105.67	87.87	144.34	80.19	321.76	67.36	34.83	139.26	100.2	97.23	130.77	161.42	229.33	79.24	44.91	80.94	81.16	31.59	47.25	71.88	136.88	22.99	6.34	25.57	16.23	67.55	301.21	89.29	70.33	35.13	13.8	128.92	29.71	15.76	22.95	33.18	15.95	15.56	5.59	9.72	5.72
505749	1.2	0	0	0	0	0	0	0	0	0	0	198.4	0	0	0	0	6.07	815.42	0	10396	14.22	0	1641	0	7.78	33.38	2.48	324.25	24.93	0	20.38	36.77	152.04	251.45	4.62	5.67	94.95	0	222.35	67.14	7.17	0	0	0	0	0	4.85	0	0	0	0	0	0	0	0	0	0	0	0	295.39	0	0	0	0	166.28	354.99	13.42	665.17	65.34	11.49	235.27	127.92	85.58	72.06	0	484.13	0	0	46.12	36.47	0	0	0	183.67	0	0	0	0	16.03	400.36	0	201.36	13.15	0	299.74	12.15	0	0	0	1.42	0	0	0	0
505750	2.96	6.39	6.34	0	2.88	0	1.77	1.58	6.15	2.86	26.13	18.58	7.17	0	0	3.02	18.95	10.75	2.12	2219	18.78	0	406.37	515.78	5.98	7.91	10.23	132.66	13.13	0	0	17.53	247.94	206.45	36.41	6.88	116.74	3.45	468.27	163.41	10.45	6.81	14.6	3.88	17.66	1.63	4.87	4.55	4.74	9.7	33.14	0	12.1	1.43	7.75	5.73	0	84.86	0	28.95	0	0	0	0	89.54	57.77	25.06	0	7.44	2.2	164.2	115.32	10.77	19.22	0	506.01	17.62	1.01	5.28	16.69	1.65	1.76	4.3	0	31.68	0	0	17.72	27.1	0	0	0	0	0	0	5.63	3.31	13.04	10.61	5.57	2.73	0	4.15	3.35
505751	0	0	0	0	0.35	0	1.02	0	0	0	0	78.08	0	0	0	0	0	1047	0	3405	303.59	0	0	946.1	2.79	29.28	0	79.11	40.55	0	18.46	52.9	268.74	603.4	16.44	8.64	291.03	0	548.01	230.95	9.07	5.19	0	0	0	0	13.44	6.91	0	0.89	0	0	1.14	0	0	1.61	0	0	0	0	32.03	0	6.17	14.38	180.1	339.51	21.86	347.42	175.66	8.01	471.17	263.37	42.18	177.62	0	437.67	62.76	0	204.02	148.01	0	0	0	125	6.07	0	0	0	29.51	264.81	0	169.84	31.86	0	288.57	33.45	0	1.95	0	1.28	0	0	0	0
505756	0.5	0.63	0.77	0	1.86	0	4.93	0.4	7.86	16.47	2.15	112.99	8.1	0	11.83	2.6	1906	3134	2889	3231	0	0	0	0	13.63	22.7	27.28	55.75	60.4	0	23.19	40.77	524.96	520.83	90.22	28.11	733.79	6.26	576.95	219.5	33.12	0	0	6.11	32.62	15.14	0	11.36	0	0	0	0	1.21	0	1.08	0	39.93	309.79	0	92.33	42.36	0	162.4	0	1737	904.83	437.18	236.46	1091	184.08	791.16	474.76	703.52	503.66	323.95	417.27	492.67	93.59	570.27	347.38	32.03	9.07	20.38	208.4	190.36	0	40.37	63.37	191.64	856.7	11.05	70.37	113.36	0	604.29	122.61	0.64	0	1.1	1.71	0.7	0	0	0
514851	0	0	0	0	0	0	0	0	0	0	0	23.45	0	0	0	0	43.14	0	0	1749	0	0	383.03	0	0	0	0	103.87	3.82	0	3.54	6.35	153.35	102.59	2.69	2.84	59.1	0	121.93	104.19	0	0	0	0	0	0	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0	73.77	99.87	17.22	268.77	45.69	0	112.85	99.3	4.4	0	0	217.66	0	0	0	5.74	0	0	0	39.32	0	0	0	0	48.48	214.78	0	100.1	4	0	215.12	17.75	0.77	0	0	0.91	0	0	0	0
514855	1.81	4.38	1.87	0	2.77	0	1.43	0.56	2.37	5.99	4.06	41.28	2.07	1.25	1.85	0	135.37	54.65	12.27	324.51	14.64	0	373.97	6.23	3.01	6.84	3.45	68.66	5.3	0	6.78	8.7	56.66	103.86	31.23	5.57	32.24	0	93.38	25.04	8.18	18.49	7.13	9.14	3.02	16.28	5.78	4.17	2.75	1.8	11.95	0	7.15	1.12	6.61	3.8	45.39	56.53	107.55	0	0	0	0	0	80.89	0	22.56	205.08	55.38	0	123.28	88.45	76.74	0	18.4	114.2	162.87	0	37.36	20.91	5.53	14.99	8.97	90.69	4.05	0	1.49	6.52	36.77	511.75	8.28	75.33	5.2	0	151.39	7.6	0	0	2.42	0	8.74	1.39	4.37	3.53
514857	0	0	0	0	0	0	0	1.24	0	0	0	26.5	0	0	0	0	440.49	0	0	10822	6.67	0	1127	42.6	6.38	27.28	0	300.67	38.53	0	23.91	60.13	375.39	579.96	0	61.18	362.49	16.71	679.3	481.89	18.76	17.55	0	10.68	15.78	0	15.43	27.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.84	240.97	2.68	612.02	127.28	5.49	317.64	374.94	8.9	38.61	0	480.25	0	0	42.04	79.93	7.99	3.6	0	134.5	0	0	3.19	12.56	5.29	208.93	0	92.82	8.81	0	125.76	34.13	0	0	0	0	0	0	0	0
514957	4.49	6.26	6.77	2.56	4.92	2.25	5.97	4.2	9.51	13.31	8.72	60.24	6.71	5.43	9.66	7.95	13.15	75.94	0	1104	7.67	0	28.6	100.87	6.08	8.92	4.5	55.3	13.48	1.36	8.77	18.4	37.33	72.72	20.85	29.61	38.75	7.68	54.48	38.25	5.2	8.86	0	0	5.84	0	12.31	0	0	17.7	15.08	23.03	0	0	28.89	21.24	52.54	77.39	55.71	103.12	61.31	62.68	99.76	89.64	69.37	114.59	13.55	212.85	25.3	9.13	129.46	90.59	0	0	0	72.85	0	0	43.39	0	5.66	18.44	18.83	60.86	5.89	0	20.66	12.49	0	0	0	0	0	0	0	0	6.04	8.13	5.52	9.83	6.61	0	8.09	10.91
515050	4.72	4.21	2.88	1.25	0	3.19	7.3	2.71	9.9	22.94	12.68	66.05	11.73	0	25.61	2.17	10564	1926	28.05	6008	1662	20.88	0	7550	21.07	33.35	7.74	92.95	30.96	16.4	0	80.4	840.66	876.98	81.83	60.02	566.63	47.48	1080	868.39	91.81	46.04	16.4	20.48	45.19	14	0	79.54	11.49	8.74	13.91	6.01	7.08	4.37	24.72	14.78	7.12	114.96	0	100.04	0	0	128.78	159.24	182.27	319.74	59.07	198.01	186.68	23.22	340.15	350.42	130.14	141.92	10.81	190.73	1.35	0	195.06	223.95	56.64	18.61	31.06	192.53	24.46	4.3	41.04	33.46	224.34	756.78	0	162.32	148.99	0	0	0	13.97	4.99	16.44	4.05	13.2	0	0	1.71
515055	2.13	3.76	2.91	3.3	3.95	0	1.16	2.03	3.11	11.83	11.05	55.41	3.86	0	4.11	2.98	128.45	149.6	0	832.66	0	0	453.32	56.59	6.21	15.79	3.73	49.99	10.82	0	13.44	12.56	28.18	107.36	16.32	2.94	23.86	7.5	83.11	43.53	0	9.87	0	0	0	0	0	0	0	12.54	0	0	0	0	0	0	44.28	101.69	48.6	44.64	52.15	43.58	67.22	0	127.68	244.17	25.2	189.55	40.98	20.84	218.46	83.55	0	40.12	0	62.03	0	0	40.69	0	9.15	13.99	15.17	80.01	10.08	0	0	0	0	0	0	0	0	0	0	0	4.64	6.22	7.63	6.14	7.37	2.35	0	1.92
515056	0	0	0	0	0	0	0	0	0	0	0	219.8	0	0	0	0	397.12	2523	0	11500	21	0	735.2	1277	5.38	19.79	15.26	90.2	6.68	0	5.9	12.4	130.72	406.36	103.16	4.07	27.25	0	157.19	22.31	9.54	8.58	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	21.83	0	49.8	0	0	0	0	143.05	271.61	62.78	284.26	25.76	8.96	149.34	54.97	39.55	92.62	0	340.03	0	0	10.9	0	0	0	0	138.27	0	0	0	0	29.63	249.34	0	133.19	0	0	66.53	7.7	1.39	0.79	0	1.24	0	0	0.62	0.73
515057	14.41	13.11	15.83	0	14.09	0	12.79	11.24	28.69	28.23	35.76	50.74	27.29	6.31	23.25	19.74	218.55	648.42	52.85	3688	84.17	10.05	838.69	2091	27.74	49.33	19.28	82.85	51.99	0	27.48	78.88	646.19	933.92	123.93	89.9	489.53	48.74	405.08	949.5	67.84	49.34	37.96	29.73	42.94	17.69	31.76	77.08	45.67	32.37	43.54	26.26	27.21	14.41	24.31	26.7	262.31	168.36	265.84	143.07	64.36	38.7	125.9	141.42	187.03	363.15	59.87	279.46	199.67	11.45	157.26	450.72	156.97	156.51	104.24	231.55	107.84	29.85	114.75	228.56	49.87	36.64	28.21	125.52	26.33	11.02	21.43	58.06	90.24	636.05	51.63	47.96	53.75	25.85	108.34	58.66	51.26	34.6	17.05	11.89	14.24	1.98	14.01	9.22
515149	2.18	2.8	2.47	0	1.73	0.62	0	1.66	2	3.64	5.84	26.83	1.23	0	1.86	2.86	3.77	14.51	15.43	425.92	9.89	0	20.54	1.78	4.4	16.1	2.5	82.69	8.13	0.9	6.93	5.31	42.89	57.22	26.47	0	54.74	3.36	39.54	35.85	11.22	0	12.77	10.5	5.32	1.7	9.36	1.04	5.68	8.44	10.28	10.55	7.18	3.15	18.27	3.3	0	75.38	37.01	0	0	0	0	0	27.69	92.27	12.29	262.34	25.53	2.1	90.51	45.35	6.69	55.55	4.31	14.63	34.3	0	43.65	5.37	7.07	5.59	9.36	43.37	0	0	10.13	4.56	5.61	182.3	26.04	8.98	20.73	0	94.15	5.6	2.13	1.82	4.23	0	2.29	1.72	3.86	0
515152	3.4	6	4.71	2.03	3.77	0	5.96	2.55	6.07	11.05	7.18	45.29	6.62	0	4.1	3.41	642.19	2232	0	1212	239.69	0	2353	580.74	9.95	20.39	3.59	40.41	14.96	0	24.38	25.15	881.23	778.12	403.98	337.83	689.36	128.73	1514	468.03	52.73	45.73	22.92	31.05	31.91	0	75.85	25.78	0	0	0	0	24.28	0	0	0	65.54	69.97	45.62	55.38	69.36	0	67.24	39.78	122.44	228.31	38.74	122	48.31	11.6	327.42	176.13	43.64	0	0	57.29	0	0	59.32	42.52	14.34	56.77	6.5	104.04	20.69	0	77.22	0	0	0	0	0	0	0	0	0	5.1	22.5	10.92	4.12	4.16	0	0	2.77
515155	4.25	5.51	4.19	2.68	5.17	2.04	3.97	4.13	6.48	14.95	13.59	57.08	9.23	4.74	10.71	8.04	266.04	153.86	0	1229	7.76	0	66.6	47.77	7.26	19.78	2.85	52.15	27.18	1.73	18.48	23.76	214.39	417.99	61.06	41.27	246.48	35.66	629.41	262.95	12.87	25.92	4.22	7.24	18.81	0	23.18	6.7	0	10.29	0	0	0	0	0	0	61.08	76.79	60.71	96.66	70.65	40.02	69.08	92.05	87.71	255.82	17.54	235.91	87.76	9.34	253.63	151.39	0	50.68	0	80.98	42.12	0	44.79	39.43	6.49	12.43	12.07	105.91	12.45	0	18.14	0	0	0	0	0	0	0	0	0	6.3	8.25	9.38	6.92	9.67	3.33	7.2	5.01
515157	0	0	0	1.34	0	0	0	0	0	0	0	145.03	0	0	0	0	0	608.52	0	3076	7.5	0	765.68	126.23	1.79	4.18	0	116.95	6.5	0	4.32	13.08	6.78	40.4	0	9.4	20.81	0	28.47	40.41	0	0	0	0	0	0	0	3.6	0	3.79	0	0	0	0	0	0	0	244.58	0	0	0	0	0	0	41.88	91.06	5.44	344.79	15.66	6.94	74.38	52.77	0	22.6	0	294.28	0	0	37.13	14.65	0	0	7.99	97.43	0	0	0	9.25	4.24	247.37	0	74.16	0	0	49.13	4.15	0	0	0	0	0	0	0	0
515249	3.01	2.92	2.88	1.7	2.74	0	2.04	2	5.18	5.3	5.48	16.31	8.64	1.38	2.35	4.94	0	0	0	4259	0	0	0	0	10.41	15.03	2.59	81.25	15.69	0	10.73	16.93	108.94	119.66	21.71	50.25	83.18	15.22	177.05	93.42	3.51	3.62	0	5.47	0	0	0	0	0	0	0	0	0	0	0	0	0	55.38	57.79	0	46.18	0	49.91	60.27	106.77	138.71	17.27	378.09	30.05	6.61	151.86	63.69	0	0	0	68.76	0	0	0	0	0	0	10.83	158.66	3.5	0	0	0	0	0	0	0	0	0	0	0	0	4.96	0	7.28	0	0	0	4.67
515250	0.92	1.69	2.28	2.43	2.69	0.62	4.81	1.32	1.45	6.21	4.95	26.73	6.02	1.33	4.52	3.27	17.76	20.14	3.76	1821	27.06	0	953.91	34.95	4.59	5.94	3.08	69.27	9.96	0.54	0	8.23	22.33	36.34	26.19	7.21	36.22	4.38	59.69	25.66	9.23	6.78	8.02	4.36	9.7	6.18	0	10.44	5.26	15.84	10.1	2.47	13.99	0.92	13.1	17.81	0	114.43	161.3	0	0	0	0	0	47.18	76.51	12.92	194.16	19.84	2.71	106.49	54.18	21.18	36.4	30.96	113.96	0	6.23	0	0.52	3.34	6.9	9	48.84	36.28	0	4.09	2.47	32.82	328.88	7.16	39.37	3.91	0	63.53	19.04	3.3	5.86	0	2.48	3.23	2.3	0	28.36
515251	2.47	3.3	0.81	1.85	1.61	0	1.56	2.15	7.85	8.76	5.96	16.63	9.03	1.26	1.25	9.96	13.81	22.55	11.42	1546	15.38	0	5.61	10.25	5.32	6.37	2.65	47.92	3.71	0.5	4.56	8.18	135.92	70.11	32.41	13.07	32.96	2.59	69.06	74.84	4.47	7.75	4.33	11.35	12.6	0	7.64	14.47	1.47	7.93	14.5	0	6.95	4.7	16.63	8.95	74.69	0	104.84	0	32.4	0	0	0	30.47	65.31	5.96	167.52	28.01	0	45.5	34.13	35.3	0	26.98	102.64	25.41	4.82	2.51	30.65	0	0	7.29	38.43	3.93	0	3.87	3.1	22.68	202.02	8.2	24.05	9.43	0	44.49	12.22	0	2.62	6.23	2.61	2.76	0	6.55	5.59
515255	5.42	3.96	5.67	0	0	0	0	0	14.89	22.81	15.53	41.7	11.81	0	3.01	0	294.67	1564	27.76	2549	38.71	0	2628	539.77	18.51	43.19	14.17	89.73	36.53	0	29.54	48.29	77.64	129.13	40.43	30.72	65.57	0	70.22	54.89	26.48	22.85	23.21	13.57	22.89	0	14.96	17.83	20.23	22.02	20.56	7.4	13.8	0	13.69	8.49	89.3	178.06	143.41	44.3	38.5	0	103.21	44.59	211.38	252.73	44.59	195.57	74.61	30.39	297.24	230.77	131.69	147.93	48.93	184.13	47.01	1.74	130.29	145.82	22.99	23.5	25.23	226.36	15.36	0	4.53	39.38	80.78	534.13	25.76	98.84	27.25	0	281.59	47.43	7.13	9.49	9.74	7.09	4.12	0	7.26	0
515350	5.11	6.35	5.41	2.48	6.5	2.22	5.05	4.49	9.49	13.87	11.56	7.46	13.33	4.75	9.84	12.55	12.17	15.11	10.97	0	38.82	0	59.94	8.11	6.62	4.85	4.66	3.42	5.59	1.28	8.74	4.35	61.62	76.39	28.84	19.75	47.54	8.1	141.79	40.38	6.83	9.45	5.24	0	12.17	0	15.24	7.05	0	6.14	7.47	0	22.79	0	32.24	17.19	62.18	69.68	74.97	55.03	66.32	60.33	76.24	81.4	71.97	38.73	13.56	13.86	18.81	8.87	113.09	19.28	0	0	0	0	0	0	42.54	40.64	17.14	21.88	17	1.55	14.02	0	13.23	7.98	0	0	0	0	0	0	0	0	8.76	10.23	7.24	2.58	8.94	0	9.23	4.46
515353	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	440.59	0	8972	0	0	51.05	24.48	2.86	6.5	4.36	156.07	5.97	3.16	6.82	7.78	27.31	50.38	40.29	35.52	36.76	14.38	106.07	29.57	0	3.87	0	0	0	0	2.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.87	162.16	39.82	482.39	36.17	29.9	145.53	57.02	0	5.78	0	373.65	0	0	46.33	2.68	0	0	0	131.6	0	0	0	0	13.59	237.82	0	171.7	16	0	101.15	4.85	0	0	0	0	0	0	0	0
515357	12.43	8.24	5.48	4.51	11.95	0	8.26	9.48	25.89	30.85	34.91	78.26	26.03	0	21.62	22.43	35.75	58	56.17	2190	112.63	4.97	582.19	39.38	23.09	30.11	14	72.18	37.52	0	28.43	50.37	284.27	290.71	77.91	64.83	212.35	20.6	432.85	374.04	39.47	32.25	30.71	26.57	34.96	7.5	34.34	50.01	27.92	29.9	44.92	20.97	27.3	7.04	25.01	22.16	169.32	246.14	269.05	147.1	136.48	24.03	111.23	169.45	137.43	181.28	46.66	238.27	140.47	18.25	242.58	283.44	85.65	105.72	84.11	198.73	66.99	24.1	101.3	144.66	21.63	36.01	24.77	67.86	27.23	0	11.83	13.05	62.61	175.43	50.32	77.24	51.46	7.57	132.65	84.81	16.9	12.78	14.17	20.18	17.72	0	12.21	26.11
515450	2.97	3.77	2.53	2.4	2.54	0	2.4	1.71	2.83	12.76	6.88	9.46	7.38	2.03	3.17	0	152.49	25.39	11.47	11023	17.67	0	669.6	134.37	8.77	21.71	11.97	104.15	8	3.45	9.06	18.02	264.61	339.44	155.41	129.29	118.73	81.86	283.48	178.33	17.79	21.11	14.61	16.14	7.13	3.83	10.61	15.99	3.74	13.68	12.84	4.09	7.53	2.84	1.78	6.13	0	240.36	81.52	62.08	0	0	67.36	0	98.39	168.31	52.7	210.02	51.01	33.22	138.38	124.15	37.16	0	29.12	173.8	32.57	5.21	24.39	120.75	3	22.22	8.92	197.08	2.39	0	14.61	33.85	45.8	358.38	21.32	214.84	27.9	4.4	224.18	16.44	2.27	5.81	3.65	0	6.55	1.43	4.95	3.12
515550	0	0	0	0	0	0	0	0	0	0	0	13.12	0	0	0	0	0	0	0	3294	27.75	0	45.99	6.11	3.27	23.07	3.3	155.38	26.87	0	7.88	22.23	9.57	118.88	3.27	0	77.62	0	36.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.66	160.6	6.68	494.47	82.62	2.66	154.42	84.07	0	0	0	399.77	0	0	9.36	2.8	0	0	0	131.01	0	0	0	0	0	195.83	0	59.59	0	0	59.61	0	0	0	0	0	0	0	0	0
515652	0	0	0	0.58	0	0	0	0	0	0	0	57.46	0	0	0	0	0	1023	0	4564	0	0	80.7	74.66	3.45	5.96	0	254.47	2.56	0	3.23	11.58	364.04	423.65	4.89	15.43	81.36	0	190.08	299.33	0	0	0	0	0	0	0	0	0	0	1.73	0.96	0	0	0	0	0	46.72	0	46.05	0	0	0	0	86.23	181.65	9.16	1048	18.35	1.81	68.31	100.37	0	32.48	0	497.84	0	0	0	0	0	0	0	100.35	0	0	0	0	20.08	196.35	0	67.75	33.49	0	42.06	0	0	0	0	0	0	0	0	0
515654	3.79	5.82	7.45	0	0	0	0	0	17.16	21.65	27.13	56.32	14.02	0	5.79	3.03	33.32	144.86	40.97	3606	17.63	0	708.43	76.04	15.18	23.23	13.64	72.44	18.88	0	16.46	23.91	70.98	86.29	54.02	25.92	52.24	0	58.65	60.18	28.36	21.65	26.32	9.58	19.42	0	20.57	21.43	25.43	26.96	32.74	0	16.48	0	10.28	17.17	171.37	160.19	131.27	7.73	0	0	14.35	76.22	98.66	114.6	36.71	233.84	42.54	8.71	113.51	112.02	61.44	64.97	63.92	188.42	41.43	0	58.85	65.37	20.05	17.06	23.91	103.13	2.07	0	1.3	6.29	51.69	297.08	7.59	63.95	44.37	0	159.58	35.79	9.13	6.84	12.84	2.29	11.37	0	0	5.61
515749	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	5.64	2.81	0	1.37	18.12	0	3.3	11.6	0	3.1	0	0	0	0	2.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.76	87.84	4.05	9.12	21.8	5.4	119.51	44.72	0	0	0	0	0	0	31.7	0	0	0	0	8.72	0	0	0	0	0	6.86	3.03	0	0	0	14.2	0	0	0	0	0	0	0	0	0
