IL.1a_Bacillus.S.	IL.1a_Bacteroides.V.	IL.1a_Candida.A.	IL.1a_CD3.CD28	IL.1a_Clostridium.P.	IL.1a_PBS	IL.1a_Pseudomonas.A.	IL.1a_Staph.A.	IL.5_Bacillus.S.	IL.5_Bacteroides.V.
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.75274859140713	2.49569516262407	2.25398926623079	1.85199883711245	2.62293035092018	0	1.92599941855622	1.43295940727611	3.14404636961671	3.05137210172103
0	0.903038270112912	1.02856915219677	0	0	0	0	0	0	1.98550043030488
0	0	0	1.4594316186373	0	2.877744249949	2.41953889151378	2.02856915219677	2.16027483140859	0
1.0703893278914	0	0	0	0	0	0	0	1.26903314645524	0
0	0	0	0	0	0	0	0	0	0
1.46988597627446	0	1.38404980679516	1.08406426478847	1.35614381022528	0	1.20789285164133	0.722466024471091	2.14404636961671	1.83592407425437
2.0036022366802	1.97085365434048	1.9560566524124	1.43295940727611	1.90303827011291	0	1.60407132366886	1.58496250072116	2.62760683812965	2.65535182861255
0	0.839959587489532	2.25701061820602	0	1.52606881166759	0	0	0	0	1.54101915313356
0	0	0	0	0	0	0	0	0	0
2.68257329734758	2.31034012061215	2.73768676140986	0	0	0	0	0	3.99004721957379	4.57349571549561
2.611172380044	2.877744249949	2.68032435684402	1.799087306074	2.90689059560852	1.68706068833989	2.59693514238723	2.45680614923047	3.39094277280254	3.89433274227769
2.52356195605701	2.72246602447109	3.06350294230616	0	2.56071495447448	0	0	0	3.80426011563474	4.40190347160796
2.13750352374994	2.8073549220576	2.51349074558812	1.59931779369823	2.25398926623079	0	2.799087306074	1.82781902461732	2.82171021503467	3.5909612413426
0	0	0	0	0	2.95791459863299	0	0	2.56559717585422	1.09085343045111
0	0	0	1.56071495447448	0	3.16671544496642	1.57046293102604	1.68257329734758	0	0
2.26002565596146	2.04264433740849	2.29278174922785	0.985500430304885	2.79493566280354	0	3.97452931248388	2.38681094647222	3.12267271882414	3.12763327972587
0.584962500721156	0.704871964456353	0.823749360308273	0	1.51601514700366	0	2.56803210477128	0.485426827170242	3.14730669878029	4.12680770314203
0	0	0	0	0	0	0	0	0	0
1.88362081628567	1.63226821549951	1.76128527336162	0	2.34482849699744	0	3.00898878322725	2.14404636961671	0	0
0	0	0	1.39506279951758	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1.58976348698498	0	0.75702324650746	0	0	1.38956681176273	0	0	0
3.74738739965272	3.20789285164133	2.6959938131099	2.46205231879643	3.69488019279919	0	3.21101219348551	3.38956681176273	4.74899785009815	4.99322146736894
1.4905701304462	2.4276061727819	1.52105073690096	0	1.91456452349394	0	1.28095631383106	0.641546029087524	1.75274859140713	2.80529245560071
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0.863938450423971	0.505890929729957	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0.659924558402378	0	0	0	0	0	0
1.0496307677246	1.75702324650746	1.68257329734758	0	1.71808758396052	0	2.19219416528334	0.895302621333307	1.84799690655495	3.1554254317472
0	0	0	0	0	0	0	0	0	0
0	0	0	2.34766565630097	1.75274859140713	0	2.68257329734758	2.03210084316702	0	0
