alpha	lambda	MSE	num	Log2_MSE	combo
0.687	4.34344747474747	4.63845551783536	3	2.49530003462626	0.687;4.343
0.687	4.29294343434343	4.63845551783536	3	2.49530003462626	0.687;4.293
0.687	4.24243939393939	4.63845551783536	3	2.49530003462626	0.687;4.242
0.687	4.19193535353535	4.63845551783536	3	2.49530003462626	0.687;4.192
0.687	4.14143131313131	4.63845551783536	3	2.49530003462626	0.687;4.141
0.687	4.09092727272727	4.63845551783536	3	2.49530003462626	0.687;4.091
0.687	4.04042323232323	4.63845551783536	3	2.49530003462626	0.687;4.04
0.687	3.98991919191919	4.63845551783536	3	2.49530003462626	0.687;3.99
0.687	3.93941515151515	4.63845551783536	3	2.49530003462626	0.687;3.939
0.687	3.88891111111111	4.63845551783536	3	2.49530003462626	0.687;3.889
0.687	3.83840707070707	4.63845551783536	3	2.49530003462626	0.687;3.838
0.687	3.78790303030303	4.63845551783536	3	2.49530003462626	0.687;3.788
0.687	3.73739898989899	4.63845551783536	3	2.49530003462626	0.687;3.737
0.687	3.68689494949495	4.63845551783536	3	2.49530003462626	0.687;3.687
0.687	3.63639090909091	4.63845551783536	3	2.49530003462626	0.687;3.636
0.687	3.58588686868687	4.63845551783536	3	2.49530003462626	0.687;3.586
0.687	3.53538282828283	4.63845551783536	3	2.49530003462626	0.687;3.535
0.687	3.48487878787879	4.63845551783536	3	2.49530003462626	0.687;3.485
0.687	3.43437474747475	4.63845551783536	3	2.49530003462626	0.687;3.434
0.687	3.38387070707071	4.63845551783536	3	2.49530003462626	0.687;3.384
0.687	3.33336666666667	4.63845551783536	3	2.49530003462626	0.687;3.333
0.687	3.28286262626263	4.63845551783536	3	2.49530003462626	0.687;3.283
0.687	3.23235858585859	4.63845551783536	3	2.49530003462626	0.687;3.232
0.687	3.18185454545455	4.63845551783536	3	2.49530003462626	0.687;3.182
0.687	3.13135050505051	4.63845551783536	3	2.49530003462626	0.687;3.131
0.687	3.08084646464647	4.63845551783536	3	2.49530003462626	0.687;3.081
0.687	3.03034242424242	4.63845551783536	3	2.49530003462626	0.687;3.03
0.687	2.97983838383838	4.63845551783536	3	2.49530003462626	0.687;2.98
0.687	2.92933434343434	4.63845551783536	3	2.49530003462626	0.687;2.929
0.687	2.8788303030303	4.63845551783536	3	2.49530003462626	0.687;2.879
0.687	2.82832626262626	4.63845551783536	3	2.49530003462626	0.687;2.828
0.687	2.77782222222222	4.63845551783536	3	2.49530003462626	0.687;2.778
0.687	2.72731818181818	4.63845551783536	3	2.49530003462626	0.687;2.727
0.687	2.67681414141414	4.63845551783536	3	2.49530003462626	0.687;2.677
0.687	2.6263101010101	4.63845551783536	3	2.49530003462626	0.687;2.626
0.687	2.57580606060606	4.63845551783536	3	2.49530003462626	0.687;2.576
0.687	2.52530202020202	4.63845551783536	3	2.49530003462626	0.687;2.525
0.687	2.47479797979798	4.63845551783536	3	2.49530003462626	0.687;2.475
0.687	2.42429393939394	4.63845551783536	3	2.49530003462626	0.687;2.424
0.687	2.3737898989899	4.63845551783536	3	2.49530003462626	0.687;2.374
0.687	2.32328585858586	4.63845551783536	3	2.49530003462626	0.687;2.323
0.687	2.27278181818182	4.63845551783536	3	2.49530003462626	0.687;2.273
0.687	2.22227777777778	4.63845551783536	3	2.49530003462626	0.687;2.222
0.687	2.17177373737374	4.63845551783536	3	2.49530003462626	0.687;2.172
0.687	2.1212696969697	4.63845551783536	3	2.49530003462626	0.687;2.121
0.687	2.07076565656566	4.63845551783536	3	2.49530003462626	0.687;2.071
0.687	2.02026161616162	4.63845551783536	3	2.49530003462626	0.687;2.02
0.271	1.81824545454545	4.63847371663408	7	2.49530469109188	0.271;1.818
1	0.959676767676768	4.63847461964504	5	2.49530492214188	1;0.96
0.635	1.76774141414141	4.63851372201245	7	2.49531492708111	0.635;1.768
0.062	1.11118888888889	4.63854557564062	10	2.49532307726817	0.062;1.111
0.427	2.57580606060606	4.63858713338699	6	2.49533371031757	0.427;2.576
0.323	2.32328585858586	4.63862295439344	2	2.49534287549016	0.323;2.323
