condition	cor	iteration
IL_5_Bacillus.S.	0.571904206139493	1
IL_5_Bacteroides.V.	0.417601364728991	1
IL_5_Candida.A.	0.586517437578009	1
IL_5_CD3_CD28	0.773169803868682	1
IL_5_Clostridium.P.	0.252883682694963	1
IL_5_PBS	0.512485534910449	1
IL_5_Pseudomonas.A.	-0.000753655655582793	1
IL_5_Staph.A.	0.441427472788013	1
IL_5_Bacillus.S.	0.499122979968561	2
IL_5_Bacteroides.V.	0.615623999002228	2
IL_5_Candida.A.	0.623407814369417	2
IL_5_CD3_CD28	0.837764445494523	2
IL_5_Clostridium.P.	0.570243669515378	2
IL_5_PBS	0.655752368208602	2
IL_5_Pseudomonas.A.	0.751325478329456	2
IL_5_Staph.A.	0.339937676889404	2
IL_5_Bacillus.S.	0.484251904544364	3
IL_5_Bacteroides.V.	0.571870485656114	3
IL_5_Candida.A.	0.673577821686039	3
IL_5_CD3_CD28	0.776587381423673	3
IL_5_Clostridium.P.	0.604222042953677	3
IL_5_PBS	0.238268945004519	3
IL_5_Pseudomonas.A.	0.446152331512767	3
IL_5_Staph.A.	0.481160412746116	3
IL_5_Bacillus.S.	0.466715253692973	4
IL_5_Bacteroides.V.	0.681603326565207	4
IL_5_Candida.A.	0.63320318787427	4
IL_5_CD3_CD28	0.746495761087288	4
IL_5_Clostridium.P.	0.67563173818813	4
IL_5_PBS	0.396000900007632	4
IL_5_Pseudomonas.A.	0.819081676709219	4
IL_5_Staph.A.	0.809599807284157	4
IL_5_Bacillus.S.	0.555211446578968	5
IL_5_Bacteroides.V.	0.628984653394164	5
IL_5_Candida.A.	0.597033941482937	5
IL_5_CD3_CD28	0.756927601334945	5
IL_5_Clostridium.P.	0.56566720801107	5
IL_5_PBS	0.691469507639114	5
IL_5_Pseudomonas.A.	0.717934274210304	5
IL_5_Staph.A.	0.445160172311416	5
IL_5_Bacillus.S.	0.668648137961663	6
IL_5_Bacteroides.V.	0.681287088535034	6
IL_5_Candida.A.	0.75202639234331	6
IL_5_CD3_CD28	0.894056524226799	6
IL_5_Clostridium.P.	0.684215478655631	6
IL_5_PBS	0.819585016772947	6
IL_5_Pseudomonas.A.	0.732035223330353	6
IL_5_Staph.A.	0.709718549600301	6
IL_5_Bacillus.S.	0.722439981661536	7
IL_5_Bacteroides.V.	0.962828878801366	7
IL_5_Candida.A.	0.650274319374712	7
IL_5_CD3_CD28	0.848094337056139	7
IL_5_Clostridium.P.	0.907306460958336	7
IL_5_PBS	0.668338600509586	7
IL_5_Pseudomonas.A.	0.908623231715284	7
IL_5_Staph.A.	0.670861735360801	7
IL_5_Bacillus.S.	0.606474605278021	8
IL_5_Bacteroides.V.	0.699620079850999	8
IL_5_Candida.A.	0.707405969875185	8
IL_5_CD3_CD28	0.623643439443954	8
IL_5_Clostridium.P.	0.713344054137228	8
IL_5_PBS	0.589848742331396	8
IL_5_Pseudomonas.A.	0.859334644182251	8
IL_5_Staph.A.	0.593887376303223	8
IL_5_Bacillus.S.	0.192650723989087	9
IL_5_Bacteroides.V.	0.276136380269236	9
IL_5_Candida.A.	0.0776528261007012	9
IL_5_CD3_CD28	0.437921874264292	9
IL_5_Clostridium.P.	0.167802608400495	9
IL_5_PBS	0.904534871195996	9
IL_5_Pseudomonas.A.	0.365121825148431	9
IL_5_Staph.A.	0.685071172534278	9
IL_5_Bacillus.S.	0.618550970796873	10
IL_5_Bacteroides.V.	0.646928504986707	10
IL_5_Candida.A.	0.616779684404782	10
IL_5_CD3_CD28	0.742607410415844	10
IL_5_Clostridium.P.	0.569261569772332	10
IL_5_PBS	0.796937090186176	10
IL_5_Pseudomonas.A.	0.777499853609387	10
IL_5_Staph.A.	0.677789629778203	10
