sample	RANTES	MIP_3a	KC	TNF_a	MCP_1	IP_10	MIP_1a	MIP_1b	IL_1a	IL_6
515250	38.4464237124157	31.1253803329911	145.371856697578	0	27.3029175602165	221.793182774935	18.331825713333	26.7123782515449	26.2988619249163	0
505453	59.4328849372553	63.9479419511219	195.993119222332	0	12.7817610138752	12.6282551005557	0	33.8458748161974	11.9579701133057	0
57-1	66.1773034738084	131.792663791441	93.5715271601831	15.7521607398318	35.9532898346874	92.8731743225092	25.3446342889681	35.5359765294954	129.563275740722	17.0322083304341
61-3	23.7862818447859	107.13891773557	517.906425675946	0	55.305606544677	127.010616146811	6.67050296570024	16.7770795686359	43.829076232124	144.334337757162
31-27	43.4503238956127	38.6242252146692	101.605611908321	0	4.04733038019427	32.9178039896777	0	22.5936824607347	51.9572745832201	0
70-1	45.5965778696342	27.4537853753228	146.900922518488	0	2.92391359673182	28.9443436339914	0	1.00000000000005	3.73692489279718	0
77-78	41.2618843129688	88.0842209792618	226.823991140427	145.702780831566	66.4360311248783	173.218811418874	1.6359955128678	1.00000000000005	35.9020203716415	0
515251	73.8611091547024	229.285009994879	115.109870434911	0	31.5503082863544	109.604169476687	0	39.2591743700512	44.1406414499966	33.1059297551832
515253	70.816681946647	79.3011291409357	154.452873042722	4.59361310861607	37.358336859164	136.9608191506	3.88491384532173	24.7037646648724	30.7437543618967	0
504848	81.3595674930176	160.521840312783	134.607501327899	10.0706005049363	45.2454337116938	300.908974012335	1.03326505579623	19.6180672709659	6.84048914198937	0
57-2	75.280044209139	106.485299138066	279.187068692147	0	8.50359486167529	95.764385012033	10.6404422852815	38.086623754837	38.2948984130794	0
61-4	55.0366247089539	110.297391496016	124.661656131752	0	9.84182751854222	37.5888542429854	2.96068272219479	84.9517533409035	94.0098909179922	0
31-29	57.0487633164922	61.6120840109854	153.18123118331	456.526032379823	142.740700329061	76.2774567933796	15.1857363537877	26.5913414092682	134.57612601336	0
70-2	73.9258269306395	289.86988562985	130.1893693552	1.863707033317	17.3690667581483	64.0561600974657	13.0079445177488	37.3468834616676	56.6728855937214	0
77-79	28.3744739002673	168.45921277436	158.594949787266	0	12.7313441086576	41.2217996784677	13.8042103143689	17.3879498285963	4.07387395741046	0
515553	32.6374821519525	125.730047142832	576.756498187152	0	90.0097732852645	48.9360799560493	0	17.9921574414856	38.3989462286417	307.169604693872
515050	30.6280444980409	231.471440414743	205.245791120416	11.5508608470935	50.4910250418628	114.17763375148	2.39776456867454	3.28243706254289	4.47972647826783	35.3135289533894
515753	44.4237449236915	352.714705687278	4177.0423673312	33.7663670867151	138.236138139286	228.881841482261	19.1392502404866	36.9834522121523	4.88972001235284	169.897128457581
505752	20.9664632479521	211.203472842971	364.031081017426	0	7.29568547571679	96.105744044541	0	16.9946325161298	9.53306302018336	0
57-3	27.6171484117876	512.866899013166	118.262772790095	10.268946807075	44.1119303411979	298.208980280901	8.52681468798198	25.8967339102417	3.17460456033574	0
64-1	59.9006524165387	62.1421893761139	533.150720176159	2.8163778647239	18.3576410605462	120.743052590652	12.7552321200774	6.004440435247	1.00765204830923	0
31-31	57.0725529975778	269.853163356671	284.160429562028	34.7287335844385	70.9222325839346	344.624221804504	39.1762098141863	36.3014089106895	72.3475813637633	96.6910220143383
