Name	Location	Genetics	RANTES	MIP-3a	KC	TNF-a	MCP-1	IP-10	IL-1b	IL-10	MIP-1a	MIP-1b	IL-1a	IL-6	GM-CSF	Plate
50 53 52	SF 1	NOD2	12.1	44.13	492.04	<3.03	<3.45	19	<2.72	<2.46	<1.06	11.21	4.15	24.2	<2.87	P2
50 50 50	SF 1	NOD2	19.58	166.67	1454	10.55	313.3	90.76	<2.72	<2.46	<1.06	20.91	98.32	554.5	<2.87	P2
50 50 57	Sf 1	NOD2	15.25	93.3	163.94	<3.03	21.62	26.33	<2.72	<2.46	1.63	10.32	28.32	<2.81	<2.87	P2
51 50 55	SF 1	NOD2	20.64	267.09	237.97	<3.03	36.15	32.48	<2.72	<2.46	<1.06	12.57	36.54	291.13	<2.87	P2
51 49 49	SF 2	NOD2	13.6	412.26	264.35	<3.03	16.29	20.8	<2.72	<2.46	<1.06	9.58	7.99	56.3	<2.87	P2
50 48 51	SF 2	NOD2	10.62	159.2	176.44	<3.03	23.7	43.07	<2.72	<2.46	<1.06	1.94	<1.61	<2.81	<2.87	P2
50 51 55	SF 2	NOD2	37.14	214.93	475.45	<3.03	185.03	117.06	<2.72	<2.46	1.63	22.71	7.08	260.8	<2.87	P2
51 53 56	SF 2	NOD2	10.46	130.19	914.03	<3.03	65.86	68.85	<2.72	<2.46	<1.06	20.13	5.26	400.88	<2.87	P2
51 54 53	SF 2	NOD2	7.99	186.24	1076	<3.03	12.58	37.11	<2.72	<2.46	<1.06	5.54	5.53	409.84	<2.87	P2
50 51 54	SF 2	NOD2	8.15	37.4	211.46	<3.03	<3.45	31.39	<2.72	<2.46	3.28	2.07	160.02	<2.81	<2.87	P2
