alpha	lambda	MSE	num	Log2_MSE	combo
0.687	0.353628282828283	33.5041044505447	1	5.10869608339373	0.687;0.354
0.687	0.404132323232323	33.5360780586083	1	5.11003235358926	0.687;0.404
0.687	0.303124242424242	33.5424801153786	1	5.11029976552792	0.687;0.303
0.687	0.252620202020202	33.6861299526843	1	5.11628697818873	0.687;0.253
0.687	0.454636363636364	33.7275410679306	1	5.11800835718549	0.687;0.455
0.687	0.202116161616162	33.862016964858	1	5.12358413483348	0.687;0.202
0.687	0.151612121212121	34.0088375456014	1	5.12964725333933	0.687;0.152
0.114	0.0506040404040404	34.0446515562243	4	5.13112237472683	0.114;0.051
0.114	1e-04	34.0549463826499	4	5.13154612309556	0.114;0
0.687	0.505140404040404	34.0605757617298	1	5.131777782992	0.687;0.505
0.114	0.101108080808081	34.0632817400511	4	5.13188912602548	0.114;0.101
0.114	0.151612121212121	34.0985973744516	4	5.13334147295692	0.114;0.152
0.114	0.202116161616162	34.1167530900172	4	5.1340875537276	0.114;0.202
0.114	0.252620202020202	34.1273029624735	4	5.13452090708572	0.114;0.253
0.114	0.303124242424242	34.1465016281339	4	5.13530919001961	0.114;0.303
0.114	0.353628282828283	34.1694618533134	4	5.13625135457348	0.114;0.354
0.114	0.404132323232323	34.1904087956789	4	5.13711036839731	0.114;0.404
0.114	0.454636363636364	34.2233882937972	4	5.13846178996047	0.114;0.455
0.687	0.101108080808081	34.2602840322408	1	5.13997219093669	0.687;0.101
0.114	0.505140404040404	34.2639978551333	4	5.14012413615985	0.114;0.505
0.114	0.555644444444444	34.2836619327382	4	5.14092839438937	0.114;0.556
0.114	0.606148484848485	34.315180166658	4	5.14221655157276	0.114;0.606
0.114	1e-04	34.3242122098081	10	5.14258548124484	0.114;0
0.114	1e-04	34.3261444975548	1	5.14266439668364	0.114;0
0.114	0.656652525252525	34.3554320792663	4	5.14385998550209	0.114;0.657
0.01	1e-04	34.3634372308	6	5.14418660250209	0.01;0
0.114	0.0506040404040404	34.3667902702495	1	5.14432338739761	0.114;0.051
0.062	1e-04	34.3728715934531	1	5.1445714376319	0.062;0
0.114	0.151612121212121	34.3746130683577	1	5.14464246255161	0.114;0.152
0.114	0.101108080808081	34.3764032903606	1	5.14471547194538	0.114;0.101
0.114	0.707156565656566	34.3891559014062	4	5.1452354460436	0.114;0.707
0.114	0.202116161616162	34.3891614632027	1	5.14523567277903	0.114;0.202
0.01	0.0506040404040404	34.3948958401634	6	5.14546942477171	0.01;0.051
0.114	0.252620202020202	34.4010127110575	1	5.14571872673017	0.114;0.253
0.114	0.0506040404040404	34.4065048287969	10	5.14594252926747	0.114;0.051
0.062	1e-04	34.4124347003995	7	5.14618413120138	0.062;0
0.01	0.101108080808081	34.4161525139151	6	5.14633558618129	0.01;0.101
0.114	0.303124242424242	34.4208100922233	1	5.14652530253531	0.114;0.303
0.062	0.0506040404040404	34.4210427888333	1	5.14653478027288	0.062;0.051
0.114	0.757660606060606	34.428146148679	4	5.14682407030459	0.114;0.758
0.01	0.151612121212121	34.4344830032338	6	5.14708209484517	0.01;0.152
0.114	0.101108080808081	34.4468959800569	10	5.14758739371337	0.114;0.101
0.062	0.101108080808081	34.4495825075591	1	5.14769673172251	0.062;0.101
0.01	0.202116161616162	34.4505646015959	6	5.14773669954358	0.01;0.202
0.114	0.353628282828283	34.4517320347883	1	5.1477842085851	0.114;0.354
0.114	0.808164646464646	34.4653765290487	4	5.14833935937583	0.114;0.808
0.01	0.252620202020202	34.4676336374088	6	5.14843117330087	0.01;0.253
0.687	0.555644444444444	34.4688317547029	1	5.14847990755536	0.687;0.556
0.114	0.151612121212121	34.4748225838301	10	5.14872356400565	0.114;0.152
0.114	0.404132323232323	34.4784244718998	1	5.14887003865694	0.114;0.404
0.062	0.151612121212121	34.4820146046887	1	5.14901602046998	0.062;0.152
0.01	0.303124242424242	34.4833062410484	6	5.14906853731479	0.01;0.303
0.062	0.0506040404040404	34.494315519177	7	5.14951608770302	0.062;0.051
0.01	0.353628282828283	34.4976581853555	6	5.14965194666485	0.01;0.354
0.114	0.202116161616162	34.5039906324359	10	5.14990928688655	0.114;0.202
0.114	0.858668686868687	34.5041126089929	4	5.14991424336238	0.114;0.859
0.114	0.454636363636364	34.5049886736894	1	5.1499498414525	0.114;0.455
0.01	0.404132323232323	34.5108976384593	6	5.1501899239082	0.01;0.404
0.01	1e-04	34.5111987483539	7	5.15020215699547	0.01;0
0.062	0.202116161616162	34.5138477522975	1	5.15030977269002	0.062;0.202
0.114	0.252620202020202	34.520154079596	10	5.15056593472254	0.114;0.253
0.01	0.454636363636364	34.5231624554969	6	5.15068811846078	0.01;0.455
0.114	0.505140404040404	34.5254509971128	1	5.15078105954664	0.114;0.505
0.01	0.505140404040404	34.534607382722	6	5.15115285412393	0.01;0.505
0.114	0.909172727272727	34.5346086885553	4	5.15115290714039	0.114;0.909
0.114	0.303124242424242	34.5406695173736	10	5.1513989540901	0.114;0.303
0.01	0.0506040404040404	34.5446162583837	7	5.15155915443611	0.01;0.051
0.01	0.555644444444444	34.5453399018889	6	5.15158852558649	0.01;0.556
0.114	0.555644444444444	34.5491598499896	1	5.15174355924468	0.114;0.556
0.062	0.252620202020202	34.5499169374018	1	5.15177428387021	0.062;0.253
0.01	0.606148484848485	34.5553958959922	6	5.15199661511631	0.01;0.606
0.114	0.353628282828283	34.5573631787892	10	5.15207643733592	0.114;0.354
0.062	0.101108080808081	34.5628065314609	7	5.15229727758286	0.062;0.101
0.01	0.656652525252525	34.5648249693672	6	5.15237915828933	0.01;0.657
0.114	0.606148484848485	34.5678801583553	1	5.15250308738768	0.114;0.606
0.01	0.101108080808081	34.5695839603669	7	5.1525721949035	0.01;0.101
0.114	0.959676767676768	34.5712411386472	4	5.15263940814945	0.114;0.96
0.01	0.707156565656566	34.5737827363129	6	5.15274248634522	0.01;0.707
0.114	0.404132323232323	34.5750361350075	10	5.15279331704375	0.114;0.404
0.687	0.0506040404040404	34.5752448007637	1	5.15280177916217	0.687;0.051
0.062	0.303124242424242	34.5757557431017	1	5.15282249943235	0.062;0.303
0.01	1e-04	34.5809809829022	4	5.15303438176164	0.01;0
0.01	0.757660606060606	34.5822821816541	6	5.15308714024694	0.01;0.758
0.01	0.808164646464646	34.5903767901793	6	5.15341530141996	0.01;0.808
0.01	0.151612121212121	34.5928087849457	7	5.15351388163275	0.01;0.152
0.114	0.454636363636364	34.5928462891559	10	5.15351540180245	0.114;0.455
0.114	0.656652525252525	34.5943144147404	1	5.15357490853034	0.114;0.657
0.01	0.858668686868687	34.5981034723488	6	5.15372847698014	0.01;0.859
0.114	0.505140404040404	34.6014334938414	10	5.15386342745037	0.114;0.505
0.062	0.353628282828283	34.6048986514031	1	5.15400384096371	0.062;0.354
0.01	0.909172727272727	34.6055513161387	6	5.15403028641316	0.01;0.909
0.01	0.959676767676768	34.6127555052946	6	5.15432216215321	0.01;0.96
0.01	0.202116161616162	34.6140050512855	7	5.15437278115625	0.01;0.202
0.114	1.01018080808081	34.6141224822413	4	5.1543775381831	0.114;1.01
0.062	0.151612121212121	34.6169485391705	7	5.15449201458393	0.062;0.152
0.114	0.707156565656566	34.6177161205134	1	5.15452310578938	0.114;0.707
0.01	0.0506040404040404	34.6190986993328	4	5.15457910603621	0.01;0.051
0.01	1.01018080808081	34.6197415484804	6	5.15460514338533	0.01;1.01
0.062	0.404132323232323	34.622258327011	1	5.15470707606305	0.062;0.404
0.01	1.06068484848485	34.6264865980194	6	5.15487831011437	0.01;1.061
0.114	0.555644444444444	34.628627357291	10	5.15496499758463	0.114;0.556
0.01	1.11118888888889	34.6330606641299	6	5.15514450244838	0.01;1.111
0.01	0.252620202020202	34.6341203664824	7	5.15518740655394	0.01;0.253
0.062	1e-04	34.6356779405414	4	5.15525046564557	0.062;0
0.01	1.16169292929293	34.639424713767	6	5.15540214416881	0.01;1.162
0.114	0.606148484848485	34.6439814364619	10	5.15558658993532	0.114;0.606
0.01	0.101108080808081	34.6442159855241	4	5.15559608330957	0.01;0.101
0.114	0.757660606060606	34.6444734418432	1	5.15560650378322	0.114;0.758
0.01	1.21219696969697	34.6456196838914	6	5.15565289670112	0.01;1.212
0.062	0.454636363636364	34.6470110654739	1	5.15570920937434	0.062;0.455
0.01	1.26270101010101	34.6516264529077	6	5.15589598984599	0.01;1.263
0.01	0.303124242424242	34.6526538165557	7	5.1559375630148	0.01;0.303
0.114	1.06068484848485	34.6549369871128	4	5.15602994921953	0.114;1.061
0.01	1.31320505050505	34.6574732805452	6	5.15613257085144	0.01;1.313
0.062	0.202116161616162	34.6580144993817	7	5.15615446830334	0.062;0.202
0.114	0.656652525252525	34.6599918219659	10	5.15623446699187	0.114;0.657
0.01	1.36370909090909	34.6631928482165	6	5.15636396498672	0.01;1.364
0.114	0.808164646464646	34.6660520974526	1	5.15647962651374	0.114;0.808
0.01	0.151612121212121	34.6664882011653	4	5.15649726684061	0.01;0.152
0.01	1.41421313131313	34.6687463193024	6	5.15658860391579	0.01;1.414
0.01	0.353628282828283	34.6698515070058	7	5.1566333047893	0.01;0.354
0.01	1.46471717171717	34.6742519917374	6	5.15681127485821	0.01;1.465
0.062	0.505140404040404	34.6754148973825	1	5.1568583029182	0.062;0.505
0.114	0.707156565656566	34.6793813451049	10	5.15701869506466	0.114;0.707
0.01	1.51522121212121	34.679631258496	6	5.15702880027203	0.01;1.515
0.01	1.56572525252525	34.6849166907334	6	5.15724249928957	0.01;1.566
0.114	1.11118888888889	34.6850843532007	4	5.15724927765041	0.114;1.111
0.01	0.404132323232323	34.685542371151	7	5.15726779451809	0.01;0.404
0.062	0.252620202020202	34.6891469924169	7	5.15741351478042	0.062;0.253
0.01	0.202116161616162	34.689922570132	4	5.15744486632732	0.01;0.202
0.01	1.61622929292929	34.6901402990594	6	5.15745366756484	0.01;1.616
0.01	1.66673333333333	34.6953002794889	6	5.15766223329279	0.01;1.667
0.062	1e-04	34.6969177085614	6	5.15772760335603	0.062;0
0.01	1.71723737373737	34.7003313804415	6	5.15786556070198	0.01;1.717
0.114	0.757660606060606	34.7010063492113	10	5.15789283677629	0.114;0.758
0.062	0.555644444444444	34.701297101014	1	5.1579045861503	0.062;0.556
0.01	0.454636363636364	34.7013122888854	7	5.15790519989444	0.01;0.455
0.01	1.76774141414141	34.705332543787	6	5.15806764981291	0.01;1.768
0.114	0.858668686868687	34.707399719538	1	5.15815117285176	0.114;0.859
0.01	1.81824545454545	34.710307212858	6	5.1582686402524	0.01;1.818
0.062	0.303124242424242	34.7111959704832	7	5.15830454557954	0.062;0.303
0.01	0.252620202020202	34.7113625003739	4	5.15831127319762	0.01;0.253
0.01	1.86874949494949	34.7153050645122	6	5.15847053913933	0.01;1.869
0.01	0.505140404040404	34.7161788709766	7	5.15850583551519	0.01;0.505
0.062	0.0506040404040404	34.7172136389299	4	5.15854763262275	0.062;0.051
0.114	1.16169292929293	34.717991819847	4	5.15857906468045	0.114;1.162
0.01	1.91925353535354	34.7202731746234	6	5.15867120855388	0.01;1.919
0.01	1.96975757575758	34.7251828223341	6	5.15886948916716	0.01;1.97
0.062	0.606148484848485	34.7269585264509	1	5.15894119589213	0.062;0.606
0.114	0.808164646464646	34.729316648932	10	5.15903641640571	0.114;0.808
0.062	0.353628282828283	34.7296134344564	7	5.15904840010051	0.062;0.354
0.01	2.02026161616162	34.7300753957801	6	5.15906705311514	0.01;2.02
