accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	collection_date	culture_collection	death_date	disease	disease_stage	genotype	geo_loc_name	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	mouse_id
SAMN12511680	Successfully loaded	505050	50_50_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_50_NOD2_SF
SAMN12511681	Successfully loaded	505057	50_50_57_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_57_NOD2_SF
SAMN12511682	Successfully loaded	515055	51_50_55_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_55_NOD2_SF
SAMN12511683	Successfully loaded	505155	50_51_55_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_55_NOD2_SF
SAMN12511684	Successfully loaded	515356	51_53_56_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_53_56_NOD2_SF
SAMN12511685	Successfully loaded	515453	51_54_53_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_54_53_NOD2_SF
SAMN12511686	Successfully loaded	505154	50_51_54_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_54_NOD2_SF
SAMN12511687	Successfully loaded	504851	50_48_51_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_51_NOD2_SF
SAMN12511688	Successfully loaded	505352	50_53_52_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_52_NOD2_SF
SAMN12511689	Successfully loaded	504948	50_49_48_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		NA	stool															NA												Fecal material was obtained after 8weeks from lab or rewilded mice	50_49_48_AtgH_SF
SAMN12511690	Successfully loaded	515652	51_56_52_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_52_AtgH_SF
SAMN12511691	Successfully loaded	515656	51_56_56_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_56_AtgH_SF
SAMN12511692	Successfully loaded	515056	51_50_56_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_56_AtgH_SF
SAMN12511693	Successfully loaded	505152	50_51_52_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_52_AtgH_SF
SAMN12511694	Successfully loaded	505751	50_57_51_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_51_AtgH_SF
SAMN12511695	Successfully loaded	505553	50_55_53_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_53_AtgH_SF
