plate	well	analyte	sample	mfi	est_c
Plate-2	NA	Analyte.A4.RANTES.	65-2	841728	54.0199760415954
Plate-2	NA	Analyte.A4.RANTES.	65-3	884480	58.021069135084
Plate-2	NA	Analyte.A4.RANTES.	66-1	627456	31.7142455956477
Plate-2	NA	Analyte.A4.RANTES.	66-4	749312	44.9464710822091
Plate-2	NA	Analyte.A4.RANTES.	66-5	761856	46.2173141635134
Plate-2	NA	Analyte.A4.RANTES.	59-1	710912	40.9648776077979
Plate-2	NA	Analyte.A4.RANTES.	59-2	624640	31.3839970485392
Plate-2	NA	Analyte.A4.RANTES.	59-3	780288	48.060550182166
Plate-2	NA	Analyte.A4.RANTES.	59-4	752640	45.2849788928067
Plate-2	NA	Analyte.A4.RANTES.	78-84	797696	49.7766420230318
Plate-2	NA	Analyte.A4.RANTES.	86-7	655104	34.8863268001519
Plate-2	NA	Analyte.A4.RANTES.	86-8	960512	64.8907642252292
Plate-2	NA	Analyte.A4.RANTES.	76-2	2285312	161.396130364759
Plate-2	NA	Analyte.A4.RANTES.	76-3	846080	54.4323511974964
Plate-2	NA	Analyte.A4.RANTES.	76-4	638720	33.0214778496441
Plate-2	NA	Analyte.A4.RANTES.	71-8	921856	61.4345614317627
Plate-2	NA	Analyte.A4.RANTES.	71-9	890624	58.5873486993495
Plate-2	NA	Analyte.A4.RANTES.	30-10	563456	23.7862818447859
Plate-2	NA	Analyte.A4.RANTES.	30-33	734720	43.4503238956127
Plate-2	NA	Analyte.A4.RANTES.	505248	672512	36.8247411562318
Plate-2	NA	Analyte.A4.RANTES.	514949	660736	35.5180830274118
Plate-2	NA	Analyte.A4.RANTES.	515249	557568	23.0016513603575
Plate-2	NA	Analyte.A4.RANTES.	32-1	1081344	75.280044209139
Plate-2	NA	Analyte.A4.RANTES.	32-2	852480	55.0366247089539
Plate-2	NA	Analyte.A4.RANTES.	32-5	873984	57.0487633164922
Plate-2	NA	Analyte.A4.RANTES.	32-8	1065216	73.9258269306395
Plate-2	NA	Analyte.A4.RANTES.	505148	581120	26.0751778919912
Plate-2	NA	Analyte.A4.RANTES.	504849	635392	32.6374821519525
Plate-2	NA	Analyte.A4.RANTES.	505551	611584	29.8335774633665
Plate-2	NA	Analyte.A4.RANTES.	504851	618240	30.6280444980409
Plate-2	NA	Analyte.A4.RANTES.	505352	639744	33.1392647089036
Plate-2	NA	Analyte.A4.RANTES.	505055	584704	26.5288679372505
Plate-2	NA	Analyte.A4.RANTES.	505050	740352	44.0301257472712
Plate-2	NA	Analyte.A4.RANTES.	505057	683264	38.0018190455227
Plate-2	NA	Analyte.A4.RANTES.	515055	753920	45.414912619281
Plate-2	NA	Analyte.A4.RANTES.	505155	956672	64.5505986948453
Plate-2	NA	Analyte.A4.RANTES.	515356	615936	30.3540139708585
Plate-2	NA	Analyte.A4.RANTES.	515453	578048	25.6835737238986
Plate-2	NA	Analyte.A4.RANTES.	505154	580608	26.0100878530248
Plate-2	NA	Analyte.A4.RANTES.	515757	671232	36.683619117303
Plate-2	NA	Analyte.A4.RANTES.	504853	542720	20.9664632479521
Plate-2	NA	Analyte.A4.RANTES.	514957	825856	52.5056482529514
Plate-2	NA	Analyte.A4.RANTES.	505548	166144	1.00000000000011
Plate-2	NA	Analyte.A4.RANTES.	515149	668928	36.4290516721056
Plate-2	NA	Analyte.A4.RANTES.	515054	692992	39.0544542824181
Plate-2	NA	Analyte.A4.RANTES.	505149	601344	28.593752507805
Plate-2	NA	Analyte.A4.RANTES.	504951	669696	36.5139861764014
Plate-2	NA	Analyte.A4.RANTES.	505355	615680	30.3235029685358
Plate-2	NA	Analyte.A4.RANTES.	514951	601856	28.6562735582952
Plate-2	NA	Analyte.A4.RANTES.	515254	785408	48.5677035647002
Plate-2	NA	Analyte.A4.RANTES.	515649	667392	36.2589447885383
Plate-2	NA	Analyte.A4.RANTES.	505253	695808	39.3570683373111
Plate-2	NA	Analyte.A4.RANTES.	515155	1020672	70.1359250874263
Plate-2	NA	Analyte.A4.RANTES.	505656	881664	57.7608200812806
Plate-2	NA	Analyte.A4.RANTES.	515350	791552	49.1736047874377
Plate-2	NA	Analyte.A4.RANTES.	505648	696064	39.3845330960568
Plate-2	NA	Analyte.A4.RANTES.	505357	559872	23.3100840139809
Plate-2	NA	Analyte.A4.RANTES.	515653	732672	43.238738991598
Plate-2	NA	Analyte.A4.RANTES.	505651	633344	32.4002598831557
Plate-2	NA	Analyte.A4.RANTES.	505652	575488	25.3552502272566
Plate-2	NA	Analyte.A4.RANTES.	505654	680960	37.7508207679378
Plate-2	NA	Analyte.A4.RANTES.	505049	671232	36.683619117303
Plate-2	NA	Analyte.A4.RANTES.	505454	718848	41.7997618538096
Plate-2	NA	Analyte.A4.RANTES.	505356	685824	38.2799369667607
Plate-2	NA	Analyte.A4.RANTES.	505252	758272	45.855613776854
Plate-2	NA	Analyte.A4.RANTES.	515748	1256960	89.4945690580764
Plate-2	NA	Analyte.A4.RANTES.	515455	830976	52.9959491627938
Plate-2	NA	Analyte.A4.RANTES.	514857	638720	33.0214778496441
Plate-2	NA	Analyte.A4.RANTES.	514849	866816	56.3811049034713
Plate-2	NA	Analyte.A4.RANTES.	505650	690176	38.7509107857163
Plate-2	NA	Analyte.A4.RANTES.	505048	849664	54.7710585915282
Plate-2	NA	Analyte.A4.RANTES.	504949	874240	57.0725529975778
