plate	well	analyte	sample	mfi	est_c
Plate-2	NA	Analyte.A10.IP.10.	65-3	350976	47.5038771890892
Plate-2	NA	Analyte.A10.IP.10.	66-1	318464	30.5374128391505
Plate-2	NA	Analyte.A10.IP.10.	66-4	297216	20.905356078451
Plate-2	NA	Analyte.A10.IP.10.	66-5	592384	212.807669067665
Plate-2	NA	Analyte.A10.IP.10.	59-1	313856	28.3395555743549
Plate-2	NA	Analyte.A10.IP.10.	59-2	347392	45.5203693314703
Plate-2	NA	Analyte.A10.IP.10.	59-3	318464	30.5374128391505
Plate-2	NA	Analyte.A10.IP.10.	59-4	318464	30.5374128391505
Plate-2	NA	Analyte.A10.IP.10.	78-84	317440	30.0440998342529
Plate-2	NA	Analyte.A10.IP.10.	86-7	318208	30.413825537196
Plate-2	NA	Analyte.A10.IP.10.	86-8	305920	24.6920559478064
Plate-2	NA	Analyte.A10.IP.10.	76-2	1758464	1025.27527657937
Plate-2	NA	Analyte.A10.IP.10.	76-3	481536	131.880577216809
Plate-2	NA	Analyte.A10.IP.10.	76-4	402176	78.2286985563343
Plate-2	NA	Analyte.A10.IP.10.	71-8	434176	99.1891747788085
Plate-2	NA	Analyte.A10.IP.10.	71-9	381952	65.6122709636682
Plate-2	NA	Analyte.A10.IP.10.	30-10	474624	127.010616146811
Plate-2	NA	Analyte.A10.IP.10.	30-33	323328	32.9178039896777
Plate-2	NA	Analyte.A10.IP.10.	505248	445440	106.807224862339
Plate-2	NA	Analyte.A10.IP.10.	514949	381952	65.6122709636682
Plate-2	NA	Analyte.A10.IP.10.	515249	402944	78.7183375701218
Plate-2	NA	Analyte.A10.IP.10.	32-1	429056	95.764385012033
Plate-2	NA	Analyte.A10.IP.10.	32-2	332544	37.5888542429854
Plate-2	NA	Analyte.A10.IP.10.	32-5	399104	76.2774567933796
Plate-2	NA	Analyte.A10.IP.10.	32-8	379392	64.0561600974657
Plate-2	NA	Analyte.A10.IP.10.	505148	368640	57.6314204696406
Plate-2	NA	Analyte.A10.IP.10.	504849	353536	48.9360799560493
Plate-2	NA	Analyte.A10.IP.10.	505551	489984	137.871055663867
Plate-2	NA	Analyte.A10.IP.10.	504851	456192	114.17763375148
Plate-2	NA	Analyte.A10.IP.10.	505352	374528	61.1270380519528
Plate-2	NA	Analyte.A10.IP.10.	505055	399616	76.6018428997145
Plate-2	NA	Analyte.A10.IP.10.	505050	571648	197.383201322423
Plate-2	NA	Analyte.A10.IP.10.	505057	402944	78.7183375701218
Plate-2	NA	Analyte.A10.IP.10.	515055	423936	92.3649146616721
Plate-2	NA	Analyte.A10.IP.10.	505155	624896	237.13394838508
Plate-2	NA	Analyte.A10.IP.10.	515356	522752	161.448971672991
Plate-2	NA	Analyte.A10.IP.10.	515453	438528	102.119290493528
Plate-2	NA	Analyte.A10.IP.10.	505154	420352	90.0009937112137
Plate-2	NA	Analyte.A10.IP.10.	515757	398336	75.7915004040738
Plate-2	NA	Analyte.A10.IP.10.	504853	429568	96.105744044541
Plate-2	NA	Analyte.A10.IP.10.	514957	425216	93.2123435518037
Plate-2	NA	Analyte.A10.IP.10.	505548	104448	1.00000000000002
Plate-2	NA	Analyte.A10.IP.10.	515149	480000	130.795848139251
Plate-2	NA	Analyte.A10.IP.10.	515054	1071872	567.839337638712
Plate-2	NA	Analyte.A10.IP.10.	505149	970240	494.579408286116
Plate-2	NA	Analyte.A10.IP.10.	504951	500224	145.184278916558
Plate-2	NA	Analyte.A10.IP.10.	505355	1820416	1063.73584467733
Plate-2	NA	Analyte.A10.IP.10.	514951	661248	264.460631859936
Plate-2	NA	Analyte.A10.IP.10.	515254	477696	129.171423353653
Plate-2	NA	Analyte.A10.IP.10.	515649	566528	193.588772803465
Plate-2	NA	Analyte.A10.IP.10.	505253	359680	52.4238640560479
Plate-2	NA	Analyte.A10.IP.10.	515155	574464	199.472696198236
Plate-2	NA	Analyte.A10.IP.10.	505656	442624	104.892385613336
Plate-2	NA	Analyte.A10.IP.10.	515350	370944	58.9925608510411
Plate-2	NA	Analyte.A10.IP.10.	505648	491520	138.964520867142
Plate-2	NA	Analyte.A10.IP.10.	505357	427520	94.7418315539115
Plate-2	NA	Analyte.A10.IP.10.	515653	449792	109.779429819514
Plate-2	NA	Analyte.A10.IP.10.	505651	541696	175.283151221485
Plate-2	NA	Analyte.A10.IP.10.	505652	450304	110.130107420158
Plate-2	NA	Analyte.A10.IP.10.	505654	477696	129.171423353653
Plate-2	NA	Analyte.A10.IP.10.	505049	318720	30.6611721700268
Plate-2	NA	Analyte.A10.IP.10.	505454	600576	218.922999443843
Plate-2	NA	Analyte.A10.IP.10.	505356	533248	169.098104002564
Plate-2	NA	Analyte.A10.IP.10.	505252	533504	169.285171385078
Plate-2	NA	Analyte.A10.IP.10.	515748	453888	112.590631040628
Plate-2	NA	Analyte.A10.IP.10.	515455	411648	84.316815471964
Plate-2	NA	Analyte.A10.IP.10.	514857	449792	109.779429819514
Plate-2	NA	Analyte.A10.IP.10.	514849	434176	99.1891747788085
Plate-2	NA	Analyte.A10.IP.10.	505650	575232	200.042862410153
Plate-2	NA	Analyte.A10.IP.10.	505048	468480	122.707111332566
Plate-2	NA	Analyte.A10.IP.10.	504949	767744	344.624221804504
