plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B6.IL.1a.	505452	218368	1
Plate-1	NA	Analyte.B6.IL.1a.	505749	898816	2.86677578791419
Plate-2	NA	Analyte.B6.IL.1a.	59-5	7090944	133.566636025206
Plate-2	NA	Analyte.B6.IL.1a.	65-2	3733504	63.1271166768633
Plate-2	NA	Analyte.B6.IL.1a.	65-3	2775808	41.7160137052209
Plate-2	NA	Analyte.B6.IL.1a.	66-1	2388480	32.9742149085722
Plate-2	NA	Analyte.B6.IL.1a.	66-4	3420160	56.1768272761888
Plate-2	NA	Analyte.B6.IL.1a.	66-5	3432960	56.4619549096307
Plate-2	NA	Analyte.B6.IL.1a.	59-1	1734912	18.4721491646103
Plate-2	NA	Analyte.B6.IL.1a.	59-2	1798144	19.8404608903301
Plate-2	NA	Analyte.B6.IL.1a.	59-3	1660672	16.8822484017154
Plate-2	NA	Analyte.B6.IL.1a.	59-4	2095104	26.3902165148597
Plate-2	NA	Analyte.B6.IL.1a.	78-84	2472192	34.8620614737032
Plate-2	NA	Analyte.B6.IL.1a.	86-7	2436096	34.0477671453343
Plate-2	NA	Analyte.B6.IL.1a.	86-8	2540544	36.4047941031141
Plate-2	NA	Analyte.B6.IL.1a.	76-2	17429248	329.03672751181
Plate-2	NA	Analyte.B6.IL.1a.	76-3	2210048	28.9615096912363
Plate-2	NA	Analyte.B6.IL.1a.	76-4	4310016	75.7416034616337
Plate-2	NA	Analyte.B6.IL.1a.	71-8	1376256	11.0255696755541
Plate-2	NA	Analyte.B6.IL.1a.	71-9	3187968	50.988248515952
Plate-2	NA	Analyte.B6.IL.1a.	30-10	2869504	43.829076232124
Plate-2	NA	Analyte.B6.IL.1a.	30-33	3231232	51.9572745832201
Plate-2	NA	Analyte.B6.IL.1a.	505248	3468288	57.2483910944025
Plate-2	NA	Analyte.B6.IL.1a.	514949	1637120	16.3821220655031
Plate-2	NA	Analyte.B6.IL.1a.	515249	2995968	46.6769591564512
Plate-2	NA	Analyte.B6.IL.1a.	32-1	2624256	38.2948984130794
Plate-2	NA	Analyte.B6.IL.1a.	32-2	5164288	94.0098909179922
Plate-2	NA	Analyte.B6.IL.1a.	32-5	7141376	134.57612601336
Plate-2	NA	Analyte.B6.IL.1a.	32-8	3442432	56.6728855937214
Plate-2	NA	Analyte.B6.IL.1a.	505148	1019392	4.61511309946856
Plate-2	NA	Analyte.B6.IL.1a.	504849	2628864	38.3989462286417
Plate-2	NA	Analyte.B6.IL.1a.	505551	1620224	16.0247158640953
Plate-2	NA	Analyte.B6.IL.1a.	504851	1010688	4.47972647826783
Plate-2	NA	Analyte.B6.IL.1a.	505352	1317632	9.88191288794836
Plate-2	NA	Analyte.B6.IL.1a.	505055	1392896	11.3549775965118
Plate-2	NA	Analyte.B6.IL.1a.	505050	6551552	122.694380123076
Plate-2	NA	Analyte.B6.IL.1a.	505057	2900992	44.5386676994681
Plate-2	NA	Analyte.B6.IL.1a.	515055	3352832	54.6754506044893
Plate-2	NA	Analyte.B6.IL.1a.	505155	1567232	14.9118049726429
Plate-2	NA	Analyte.B6.IL.1a.	515356	1417728	11.8502018645985
Plate-2	NA	Analyte.B6.IL.1a.	515453	1441024	12.3185721312489
Plate-2	NA	Analyte.B6.IL.1a.	505154	9702400	184.573281014329
Plate-2	NA	Analyte.B6.IL.1a.	515757	3550464	59.0747207679987
Plate-2	NA	Analyte.B6.IL.1a.	504853	1299456	9.53306302018336
Plate-2	NA	Analyte.B6.IL.1a.	514957	1980928	23.852551113729
Plate-2	NA	Analyte.B6.IL.1a.	505548	215808	1
Plate-2	NA	Analyte.B6.IL.1a.	515149	3044352	47.76495336994
Plate-2	NA	Analyte.B6.IL.1a.	515054	2311936	31.2504747815225
