num	Feature
303	Hhex
304	Cd55
305	Bahd1
306	Zdhhc8
307	Rp2h
308	Nbeal1
309	Tnxb
310	Lgals7
311	Blm
312	Ik
313	Nup62
314	Ppp4r2
315	Insig1
