Site	Genetics	Location	PCoA_1	PCoA_2	PCoA_3	PCoA_4	PCoA_5	PCoA_6	PCoA_7	PCoA_8	PCoA_9	PCoA_10	PCoA_11	PCoA_12	PCoA_13	PCoA_14	PCoA_15	PCoA_16	PCoA_17	PCoA_18	PCoA_19	PCoA_20	PCoA_21	PCoA_22	PCoA_23	PCoA_24	PCoA_25	PCoA_26	PCoA_27	PCoA_28	PCoA_29	PCoA_30	PCoA_31	PCoA_32	PCoA_33	PCoA_34	PCoA_35	PCoA_36	PCoA_37	PCoA_38	PCoA_39	PCoA_40	PCoA_41	PCoA_42	PCoA_43	PCoA_44	PCoA_45	PCoA_46	PCoA_47	PCoA_48	PCoA_49	PCoA_50	PCoA_51	PCoA_52	PCoA_53	PCoA_54	PCoA_55	PCoA_56	PCoA_57	PCoA_58	PCoA_59	PCoA_60	PCoA_61	PCoA_62	PCoA_63	PCoA_64	PCoA_65	PCoA_66	PCoA_67	PCoA_68	PCoA_69	PCoA_70	PCoA_71	PCoA_72	PCoA_73	PCoA_74	PCoA_75	PCoA_76	PCoA_77	PCoA_78	PCoA_79	PCoA_80	PCoA_81	PCoA_82	PCoA_83	PCoA_84	PCoA_85	PCoA_86
31-27_AtgW_NYU	AtgW	NYU	0.044640321	0.057551828	0.053877691	0.002814355	-0.054882262	-0.000570725	-0.007210999	-0.005884793	-0.009291517	-0.008357543	-0.017703074	-0.00576898	-0.013193664	-0.013805896	0.008286307	-0.003888549	0.004625121	0.008919765	-0.009786891	-0.016097924	-0.007187148	-0.004741896	-0.005952289	-0.02049528	0.010251089	-0.003746384	0.005589053	0.001528091	-0.003243474	-0.009409023	-0.007137209	0.012689628	0.010732377	-0.012659549	-0.005588445	0.004071906	0.015387205	0.014013563	-0.001363506	-0.006208994	-0.006288685	-0.006502885	4.60E-05	0.00367245	-0.000256793	-0.00146038	-0.003158658	0.004018128	-0.010513779	-0.002947245	-0.003625213	0.000123324	0.006122871	0.007524198	0.000404555	-0.002790593	-0.002466098	0.004896837	-0.005952054	-0.006340026	-0.003554134	-0.000694694	0.010656804	0.003137589	-0.005440528	-0.001910976	0.001650083	-0.006785667	-0.002783941	-0.004637947	0.00429979	0.003528312	-0.001177875	-0.002259905	-0.002503582	-0.003806403	0.002382953	0.001001005	0.00404791	0.006019705	0.001688405	-5.58E-05	0.005951141	-0.000760619	0.00065466	0.000190149
31-29_AtgW_NYU	AtgW	NYU	0.044965723	0.08804661	0.051049901	-0.006466261	-0.081614512	0.022172364	-0.004978548	0.002543871	-0.003013063	-0.019603531	-0.025317721	0.013160389	-0.001776386	0.006189331	-0.000156068	-0.011581574	-0.016618215	0.016008288	-0.016181492	-0.01018284	-0.007995067	-0.016553566	0.029448837	-0.013812301	-0.014657327	-0.005000007	-0.002748884	-0.009312403	0.001730544	-0.001219293	-0.00145756	-0.00849296	0.000497715	-0.012733189	0.00119631	0.000876416	0.000451463	-0.00623575	-0.000589038	-0.001530473	0.004290828	-0.007480055	-0.00500285	-0.003228827	-0.012616059	-0.005186664	0.006722055	-0.009854442	0.000289094	0.000622078	-0.000119453	-0.003042555	-0.007102845	-0.005794381	-0.004843154	0.004102887	-0.003275844	0.001612293	0.001667243	0.00054921	-0.005866075	0.004329661	-0.003931696	-6.76E-05	-0.004536009	-0.00576007	-0.007734962	-0.001484512	-0.004010315	-0.006054191	0.004306144	0.000123729	0.000837574	0.001072013	0.002121045	0.001219795	0.000153367	0.000212613	-0.002240003	-0.000932641	0.000595401	-0.003062222	-0.002008256	0.003870478	-0.00012027	0.000533196
31-31_AtgW_NYU	AtgW	NYU	-0.186747579	0.036649963	0.04058669	0.044961196	-0.028278211	-0.04984834	0.000605337	-0.031771341	0.018486288	-0.000530198	0.005035634	-0.021658477	0.00413658	-0.014407724	-0.001385536	0.020836865	-0.001634403	0.002757065	0.002058998	-0.006319453	0.007491158	-0.013169922	-0.008817642	-0.005995837	-0.01162782	0.007389577	0.012451954	-0.003810971	-0.029596638	0.007333771	0.006132833	0.003427847	-0.004250746	-0.002612462	-0.001047631	0.0009304	0.005005714	0.000330824	-0.003196465	0.002945992	-0.005614819	0.003564944	0.00797564	-0.012396812	-0.005631654	0.015399787	-0.012565856	0.000397344	-0.006531369	-0.005660058	0.005386817	-0.001066245	-0.001079361	0.004189327	0.001722195	0.008375085	-0.004320785	-0.0067101	-0.004418151	0.008101245	0.010478208	-0.000355741	0.003329087	-0.001122226	0.007595256	-0.009327057	-0.00324202	-0.002967226	0.001937053	0.000199417	0.00319885	0.002128577	0.006757092	-0.000604858	0.006196737	0.004527616	0.004818917	0.002654247	-0.00049802	0.000655034	-0.001526134	-0.000779118	-0.002380034	0.001361849	-0.00018904	-0.000225078
31-80_AtgW_NYU	AtgW	NYU	-0.198663141	0.027454187	0.037066783	0.037343669	-0.069344267	-0.006314286	-0.017885481	-0.015371881	0.025513041	-0.020545353	-0.008345948	0.00466843	-0.015981175	-0.008545514	-0.009484524	0.013724687	-0.024707235	0.009690739	0.018225179	0.011829041	-0.005501951	0.009913229	0.013147232	-0.008695844	-0.005810515	-0.014311021	0.019697066	0.009069552	0.000292269	-0.011589823	0.005314215	-0.011650643	0.008232879	-0.006854215	-0.007108891	0.002661488	0.015976533	-0.001493209	0.001426018	-0.003198252	0.008401338	0.006876026	-0.002620186	-0.002681192	0.003337405	0.00475566	-0.001375342	-0.0136782	0.005208847	0.001846663	0.002397862	-0.004348022	0.000975372	0.009599786	-0.003966051	0.007720406	-0.002512663	-0.010715499	0.001366718	-0.004235057	-0.001153156	-1.17E-05	0.008833749	0.003509444	0.000651968	-0.001222046	0.005306004	-0.001083163	-0.002247857	0.005402165	-0.001377937	-0.002835995	-0.00307622	0.004094719	0.001713803	0.004860445	-0.007539021	-0.008601223	0.002991125	0.001083015	-0.002173316	-0.0025501	0.000412447	0.000701959	0.001524841	0.000259741
31-90_AtgW_NYU	AtgW	NYU	-0.110058416	-0.119114994	0.025257305	0.074871742	-0.026764138	0.037166188	0.01932644	0.038066257	-0.029127077	0.037608723	0.013975794	-0.003768673	-0.001847475	-0.005790769	0.00566777	0.020910827	-0.007972163	0.027542101	0.013111002	-0.001132129	0.006295699	-0.037382232	0.024056675	0.030593181	0.017428522	0.007611361	-0.021519335	-0.001955573	-0.011274683	-0.006898426	0.018921584	0.020446224	-0.008346125	0.005606127	-0.017155133	0.00523553	-0.010408485	-3.21E-05	0.001419081	-0.018167109	-0.0167443	0.017185329	-0.004823244	-0.013261666	0.000923809	0.003471606	0.004349064	0.003322357	0.006950321	-0.005756014	-0.000665482	-0.008404234	-0.005330832	0.002056291	0.001750447	0.000813675	0.001239067	0.004782497	-0.00286071	-0.000912249	-0.002611694	-0.006922865	-0.000762861	-0.004739	-0.002120382	0.000944493	-0.001381854	-0.00244014	-0.002588987	-0.000660217	0.002044572	-0.001886938	0.000952312	0.001238977	-0.001214952	-0.002597824	0.001177081	0.004146489	0.002108409	0.003186302	0.000597271	-0.000457643	-0.002194579	0.000192827	-0.000423876	-0.000578047
32-1_AtgW_NYU	AtgW	NYU	0.027034889	-0.087905376	-0.019443596	0.047513467	0.019087176	-0.020353523	0.013167277	-0.002048402	0.004751211	-0.039914219	0.038145001	0.021148524	0.00054513	-0.012719131	0.010599722	0.00896098	0.008975816	0.026381574	0.013319025	0.024966469	0.001708464	-0.010365405	0.009067951	-0.00244227	0.015984635	0.005541398	-0.004424655	0.001052101	-0.012335519	-0.001984894	-0.006001291	-0.008759341	-0.005949836	0.00813374	-0.005163681	-0.00114636	-0.014930289	0.002388008	-0.001842472	0.00029598	-0.008933125	-0.00826056	0.001684122	-0.001146885	-0.003695439	-0.014523693	0.003821696	0.010140791	-0.000613089	-0.005753279	-0.0020233	-0.012594494	0.000192035	-0.008255752	0.005639081	-0.004575335	0.003924511	-0.000206139	-0.004939527	0.012244933	-0.004718842	-0.002709683	0.002973322	0.009479477	-0.005484191	0.002977979	-0.005143622	-9.90E-05	0.001044801	0.006109275	0.000943124	0.005497503	-0.008225714	-0.001850852	0.001969035	0.004077598	0.005538757	-0.001734181	0.000102548	0.001816762	0.003023465	-0.001075842	-0.002967447	0.001280255	-0.000119902	-0.00041434
32-2_AtgW_NYU	AtgW	NYU	-0.01841489	0.018028744	-0.048383876	-0.095775063	-0.023472562	0.002999763	-0.017956872	-0.021337866	-0.013856425	0.008799445	0.043143499	-0.00119953	3.86E-05	0.02943417	0.005314054	0.014571517	-0.004818565	0.00455697	-0.029361617	0.004196145	0.026573275	-0.011795502	-0.017922914	0.039226328	0.027533458	-0.001107572	-0.003963815	-0.018508665	-0.000918851	-0.0070066	-0.009903587	0.010179123	-0.001998066	0.005753841	0.008559344	-0.016252076	-0.007618935	0.017008217	0.0090119	-0.003544484	1.47E-05	0.003845754	-0.014836155	0.008686912	0.006867392	-0.000326206	0.004524848	0.007203019	-0.00381056	-0.006720198	0.001730907	-0.007076566	0.006356487	-0.001242123	-0.004830502	-0.001952194	0.004886037	0.002812214	-0.009857578	-0.010874544	0.004961208	0.006726177	0.001484588	-0.001111837	-0.001549756	-0.006184267	0.002696499	0.004937699	0.007120151	-0.000245599	-0.000572018	0.002166525	-0.000853753	0.000615735	-0.00263698	0.004032723	0.00226525	-0.002995801	0.00149233	-0.001932799	-0.002227515	0.000113745	-0.000961868	0.000871457	-0.000581543	0.000159222
32-5_AtgW_NYU	AtgW	NYU	-0.001752399	0.09103653	0.09292629	-0.029884512	-0.031342171	0.027593601	-0.02531164	0.009393925	0.001909296	0.011026566	-0.00947794	-0.013598541	0.021718993	0.006782388	-0.013239757	-0.021480669	-0.000902041	-0.001540338	0.022502691	0.006615789	0.003173408	-0.028031115	-0.007542807	-0.01278847	0.003895381	0.007003419	0.003187064	0.00057176	-0.010407214	-0.006763269	-0.020163322	-0.001277841	0.004222542	-0.000317788	-0.002391999	0.00561572	-0.009011605	0.014443947	-0.002183919	0.003023029	-0.008278934	0.012160167	-0.009630452	-0.003027229	-0.005060932	-0.009332121	-0.008067355	-0.004950356	0.002742985	-0.000962515	0.007600728	0.00859194	-0.006117452	-0.001647353	0.010946573	-0.012543593	-0.009997263	-0.004467037	0.003886824	0.002706522	-0.004847173	-0.010964496	-0.00615648	0.002707767	0.0133929	-0.003996027	-0.004747307	-0.000661478	-0.002639747	0.003160119	-0.004633632	-0.00132428	-0.002105704	-0.000972052	0.001967884	-0.000787553	0.000760971	0.001393327	0.002030339	0.000798165	-0.000404417	-0.001486879	0.000992523	-0.001771439	0.00023709	-0.000853104
32-8_AtgW_NYU	AtgW	NYU	0.065659702	-0.036074253	0.073162397	-0.002076509	0.056683345	0.026941587	-0.019045663	-0.019134206	-0.019060987	0.015171772	-0.023898963	0.018861868	-0.03439858	0.011488512	0.006915827	0.022656195	-0.003476889	-0.007472609	-0.01449302	0.006479514	-0.013524299	-0.006895478	-0.029270182	0.005483614	-0.007803286	0.022700312	-0.00383699	0.00656557	-0.007345986	0.017000044	0.003935399	-0.010821225	-0.005086809	0.002828556	-0.000883698	0.005659806	-0.007744522	-0.009626995	-0.004392763	-0.007518818	-0.002330105	-0.007817095	-0.00694724	-0.005155679	0.002628014	0.003587862	-0.004843081	-0.00417055	0.000371618	0.00583075	-0.002689481	-0.014221152	-0.006069823	0.003385609	0.005719499	-0.012512006	-0.014074281	-2.87E-05	-0.006668671	0.003487559	-0.001442101	-0.001392735	0.005753693	0.010135635	-0.001462594	-0.009195	-0.004981059	0.007518499	-0.002207064	-0.002420783	0.004407594	-0.003481432	-0.000740771	0.003135179	-0.00312096	0.001745375	-0.003355987	0.004088037	-0.001378188	-0.001073278	-0.000144129	0.001486193	0.00096014	-0.000134507	0.00131105	-0.000192821
50_48_48_NOD2_SF	NOD2	SF	0.025244746	0.046323512	-0.017896106	-0.004309973	-0.015381999	0.047696869	0.010986065	0.018304231	-0.044127129	-0.000467168	-0.00262706	-0.001794766	0.006829442	-0.019241458	-0.015533452	-0.012239466	-0.014752523	0.006741671	0.003319184	-0.010780327	0.003623464	0.012953196	0.004078531	-0.018268661	-0.013201318	-0.006969443	0.000707069	-0.012387212	-0.018103855	0.000285133	0.003239642	-0.007297056	-0.003994764	0.008179868	-0.000352334	0.001518452	0.01702686	-0.001550676	0.018061647	-0.00092622	0.016167542	0.005789687	-0.002400298	0.011477504	0.011407299	-0.005361954	0.00770798	0.002481148	-0.002905867	-0.006428064	0.006924538	-0.001246734	-0.012013646	-0.011788992	-0.000450208	0.005240375	-0.006577754	0.008116576	-0.010291664	0.007640231	0.00049012	0.002770446	0.001699894	0.001882242	0.009345408	-0.005335373	0.003034452	0.004449455	0.000245762	-0.0032158	-0.003120806	-0.005176726	0.002281555	-0.002614052	-0.00228273	0.004746664	-0.002854775	0.002659226	-0.004434407	0.001502099	-0.000992628	0.003292742	-0.000966499	0.001124875	0.000561728	-0.000120751
